filter,metric,best_config_id,best_config,metric_value
Butterworth,rmse,3,"{'cutoff': 0.2, 'order': 2}",132.21417451831266
Butterworth,mape,3,"{'cutoff': 0.2, 'order': 2}",1.8323963143963788
Butterworth,pearson_r2,1,"{'cutoff': 0.05, 'order': 2}",0.3530635667204491
Butterworth,directional_accuracy,2,"{'cutoff': 0.1, 'order': 2}",49.585006693440434
HP Filter,rmse,3,{'lambda': 10000},133.25147929270167
HP Filter,mape,1,{'lambda': 100},1.809019354109754
HP Filter,pearson_r2,2,{'lambda': 1600},0.3293758014343109
HP Filter,directional_accuracy,1,{'lambda': 100},50.5756358768407
Kalman Filter,rmse,2,{'process_noise': 0.01},122.45220744424554
Kalman Filter,mape,1,{'process_noise': 0.001},1.6745012857802382
Kalman Filter,pearson_r2,2,{'process_noise': 0.01},0.26664246622924204
Kalman Filter,directional_accuracy,2,{'process_noise': 0.01},50.81659973226238
Moving Average,rmse,2,{'window': 30},122.10808920723892
Moving Average,mape,1,{'window': 10},1.6005570649665228
Moving Average,pearson_r2,2,{'window': 30},0.26770801993116833
Moving Average,directional_accuracy,3,{'window': 60},49.344042838018744
