filter,config_id,config,rmse,mape,pearson_r2,directional_accuracy
Butterworth,1,"{'cutoff': 0.05, 'order': 2}",158.49721124549447,2.3087087883339086,0.3398767983854096,50.01338688085676
Butterworth,2,"{'cutoff': 0.1, 'order': 2}",134.55985896170847,1.8227820804040298,0.2995469342714829,48.56760374832664
Butterworth,3,"{'cutoff': 0.2, 'order': 2}",131.40106594446243,1.7689275788132022,0.22776582903140866,48.942436412315935
HP Filter,1,{'lambda': 100},139.4245074532178,1.7764425710528604,0.2752383229300659,49.71887550200803
HP Filter,2,{'lambda': 1600},143.48052127607792,1.9672162082269056,0.3283457797968129,48.433734939759034
HP Filter,3,{'lambda': 10000},138.96156676755976,1.7905614383522523,0.30464982849795796,50.49531459170014
Kalman Filter,1,{'process_noise': 0.001},125.25964056545193,1.6659982878600679,0.24598535466930227,50.09370816599732
Kalman Filter,2,{'process_noise': 0.01},124.74100250353344,1.739615479513867,0.23388245806998276,49.344042838018744
Kalman Filter,3,{'process_noise': 0.1},131.1888992830628,1.7164581534856123,0.2124703418614727,48.54082998661312
Moving Average,1,{'window': 10},125.61142391921877,1.6595707567881917,0.19607887787789122,48.56760374832664
Moving Average,2,{'window': 30},122.45408885141693,1.6654667049673575,0.2706932730544325,49.18340026773762
Moving Average,3,{'window': 60},126.44172847236364,1.748455631988989,0.3039800795348405,49.1566265060241
