Date,Open,High,Low,Close,Adj Close,Volume
2004-05-17,7.0,7.0,6.23,6.4,5.796117,3392350.0
2004-05-18,6.7,6.7,6.4,6.5,5.886682,20000.0
2004-05-19,6.2,6.31,6.2,6.31,5.714609,26850.0
2004-05-20,6.31,6.31,6.31,6.31,5.714609,0.0
2004-05-21,6.35,6.4,6.3,6.4,5.796117,147500.0
2004-05-24,6.38,6.4,6.3,6.3,5.705553,55500.0
2004-05-25,6.3,6.3,6.3,6.3,5.705553,52500.0
2004-05-26,6.22,6.25,6.21,6.25,5.66027,33250.0
2004-05-27,6.3,6.45,6.3,6.45,5.841399,16400.0
2004-05-28,6.3,6.36,6.3,6.36,5.759892,4250.0
2004-05-31,6.36,6.36,6.36,6.36,5.759892,0.0
2004-06-01,6.36,6.4,6.36,6.4,5.796117,3500.0
2004-06-02,6.36,6.4,6.36,6.4,5.796117,4095.0
2004-06-03,6.31,6.31,6.25,6.25,5.66027,34250.0
2004-06-04,6.4,6.4,6.22,6.34,5.741779,55350.0
2004-06-07,6.25,6.25,5.91,6.14,5.56065,540860.0
2004-06-08,6.22,6.35,6.21,6.29,5.696497,363235.0
2004-06-09,6.3,6.37,6.24,6.3,5.705553,293015.0
2004-06-10,6.31,6.31,6.24,6.24,5.651214,127500.0
2004-06-11,6.29,6.44,6.28,6.44,5.832343,129750.0
2004-06-14,6.4,6.4,6.35,6.35,5.750835,17500.0
2004-06-15,6.43,6.43,6.36,6.37,5.768947,4500.0
2004-06-16,6.4,6.42,6.4,6.42,5.814229,10570.0
2004-06-17,6.4,6.42,6.4,6.42,5.814229,10570.0
2004-06-18,6.38,6.44,6.38,6.44,5.832343,60625.0
2004-06-21,6.41,6.41,6.4,6.4,5.796117,12500.0
2004-06-22,6.4,6.4,6.4,6.4,5.796117,10000.0
2004-06-23,6.4,6.44,6.4,6.44,5.832343,8330.0
2004-06-24,6.44,6.89,6.44,6.74,6.104036,171955.0
2004-06-25,6.8,6.8,6.74,6.75,6.113092,25650.0
2004-06-28,6.75,6.75,6.7,6.74,6.104036,20000.0
2004-06-29,6.8,6.94,6.7,6.7,6.067811,71185.0
2004-06-30,6.8,6.8,6.7,6.7,6.067811,13420.0
2004-07-01,6.75,6.8,6.68,6.7,6.067811,15500.0
2004-07-02,6.61,6.75,6.6,6.7,6.067811,10750.0
2004-07-05,6.5,6.73,6.5,6.7,6.067811,23775.0
2004-07-06,6.7,6.7,6.6,6.68,6.049696,8910.0
2004-07-07,6.69,6.69,6.5,6.6,5.977246,9465.0
2004-07-08,6.4,6.44,6.4,6.4,5.796117,13500.0
2004-07-09,6.4,6.4,6.3,6.4,5.796117,11250.0
2004-07-12,6.5,6.5,6.25,6.3,5.705553,41520.0
2004-07-13,6.21,6.21,6.21,6.21,5.624045,10000.0
2004-07-14,6.17,6.19,6.02,6.19,5.605933,36610.0
2004-07-15,6.1,6.15,6.0,6.0,5.43386,101000.0
2004-07-16,5.6,6.0,5.6,6.0,5.43386,8250.0
2004-07-19,6.0,6.05,5.8,5.8,5.252731,17500.0
2004-07-20,5.8,5.9,5.8,5.8,5.252731,40930.0
2004-07-21,5.8,6.0,5.8,6.0,5.43386,12835.0
2004-07-22,6.0,6.0,5.8,5.8,5.252731,87485.0
2004-07-23,5.9,5.9,5.8,5.8,5.252731,1750.0
2004-07-26,5.79,5.84,5.76,5.8,5.252731,63750.0
2004-07-27,5.77,5.77,5.7,5.7,5.162167,1500.0
2004-07-28,5.8,5.9,5.62,5.76,5.216506,25205.0
2004-07-29,5.76,5.8,5.75,5.75,5.207448,21300.0
2004-07-30,5.8,6.0,5.75,6.0,5.43386,141670.0
2004-08-02,6.0,6.0,6.0,6.0,5.43386,2220.0
2004-08-03,6.0,6.16,6.0,6.16,5.578763,15000.0
2004-08-04,6.19,6.38,6.19,6.2,5.614988,30240.0
2004-08-05,6.19,6.38,6.19,6.2,5.614988,30240.0
2004-08-06,6.0,6.0,5.75,5.75,5.207448,6500.0
2004-08-09,5.85,5.85,5.75,5.75,5.207448,34000.0
2004-08-10,5.92,5.92,5.92,5.92,5.361409,250.0
2004-08-11,5.75,5.75,5.75,5.75,5.207448,9750.0
2004-08-12,5.8,5.8,5.7,5.8,5.252731,22650.0
2004-08-13,5.8,5.8,5.7,5.8,5.252731,22650.0
2004-08-16,5.8,5.8,5.7,5.8,5.252731,22650.0
2004-08-17,5.7,5.7,5.7,5.7,5.162167,11500.0
2004-08-18,5.7,5.7,5.7,5.7,5.162167,11500.0
