Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,46.596687,46.596687,46.596687,46.596687,35.347977,0
2000-01-04,46.596687,46.596687,45.531055,46.402962,35.201023,193546
2000-01-05,45.482601,46.499775,45.366344,46.277035,35.105495,482677
2000-01-06,46.402962,46.984234,46.209236,46.790409,35.494934,891245
2000-01-07,46.790409,46.838863,46.451416,46.790409,35.494934,369229
2000-01-10,46.945450,46.984234,45.637638,46.015415,34.907024,381206
2000-01-11,45.821690,45.918602,44.901428,45.046696,34.172165,354162
2000-01-12,44.804516,44.940113,43.593616,43.593616,33.069866,881961
2000-01-13,43.496708,45.182293,43.399796,43.981068,33.363781,503119
2000-01-14,43.981068,44.852970,43.981068,44.707607,33.914932,578263
2000-01-17,44.368614,44.881989,43.787342,43.835796,33.253586,186012
2000-01-18,43.787342,43.835796,43.109161,43.641975,33.106552,313596
2000-01-19,43.593616,43.961723,43.312656,43.835796,33.253586,260019
2000-01-20,43.593616,43.932610,42.692600,42.818623,32.481960,391217
2000-01-21,42.818623,43.448254,42.624802,43.302982,32.849388,554116
2000-01-24,43.593616,43.593616,43.409565,43.583851,33.062458,218522
2000-01-25,43.448254,43.496708,42.750729,43.109161,32.702354,119630
2000-01-26,43.022018,43.399796,42.837967,43.351440,32.886150,218829
2000-01-27,43.351440,44.068306,43.302982,44.068306,33.429962,505187
2000-01-28,44.223248,44.998241,44.126434,44.756062,33.951694,237827
2000-01-31,44.416969,45.724781,44.416969,45.666653,34.642452,324129
2000-02-01,46.121998,46.645142,46.121998,46.499775,35.274460,417340
2000-02-02,46.645142,47.420135,45.918602,47.420135,35.972645,724231
2000-02-03,47.565407,49.163849,47.565407,48.485767,36.781021,545128
2000-02-04,48.921669,52.070103,48.824856,51.343563,38.948925,1665859
2000-02-07,51.827923,51.827923,50.423203,50.617023,38.397778,488461
2000-02-08,50.859203,50.859203,49.018581,49.648209,37.662842,564024
2000-02-09,50.277935,50.907661,48.921669,48.921669,37.111698,514369
2000-02-10,48.921669,49.890388,48.437309,49.599850,37.626152,97131
2000-02-11,49.890388,50.520115,49.115395,49.406029,37.479126,256201
2000-02-14,48.921669,49.890388,48.921669,49.890388,37.846558,213670
2000-02-15,49.890388,51.052929,49.115395,49.890388,37.846558,560820
2000-02-16,50.423203,50.471661,49.212303,49.406029,37.479126,280154
2000-02-17,49.406029,49.890388,49.067036,49.648209,37.662842,321334
2000-02-18,49.648209,51.343563,49.551395,51.295109,38.912167,524072
2000-02-21,50.762295,51.827923,50.568569,51.731014,39.242847,213363
2000-02-22,51.827923,52.312283,51.440376,52.312283,39.683788,305960
2000-02-23,52.554462,53.135735,52.070103,53.135735,40.308460,435611
2000-02-24,52.796642,53.329456,51.634201,51.827923,39.316360,496097
2000-02-25,52.312283,52.554462,51.827923,52.506008,39.830757,153594
2000-02-28,51.876377,51.924835,51.149841,51.343563,38.948925,572592
2000-02-29,51.440376,51.440376,48.921669,49.599850,37.626152,519118
2000-03-01,49.890388,52.312283,49.406029,52.312283,39.683788,210681
2000-03-02,52.215370,52.554462,51.343563,52.554462,39.867508,164843
2000-03-03,52.312283,53.571636,52.312283,52.796642,40.051228,1011090
2000-03-06,52.796642,53.281002,52.360741,52.457649,39.794064,175581
2000-03-07,52.070103,53.329456,52.021648,53.281002,40.418655,246190
2000-03-08,53.281002,55.702896,52.796642,54.443542,41.300552,352309
2000-03-09,54.540455,55.218536,52.409195,53.038822,40.234943,817544
2000-03-10,53.281002,53.571636,50.665382,51.924835,39.389874,363354
2000-03-13,51.440376,51.440376,50.277935,50.471661,38.287506,104358
2000-03-14,51.246655,53.668549,51.246655,52.796642,40.051228,416818
2000-03-15,52.312283,53.281002,52.167015,52.263828,39.647034,71837
2000-03-16,52.263828,53.668549,52.312283,53.717003,40.749409,172377
2000-03-17,54.249821,56.671616,54.249821,56.090443,42.549881,721232
2000-03-20,56.041988,57.398254,56.041988,57.349796,43.505226,376149
2000-03-21,57.640430,57.834156,56.671616,56.768528,43.064278,317414
2000-03-22,57.834156,57.979424,56.187256,57.640430,43.725697,275087
2000-03-23,57.979424,58.560696,57.785702,58.415428,44.313602,417954
2000-03-24,59.093510,61.999763,59.093510,61.757584,46.848946,452951
2000-03-27,61.612221,63.646664,60.788864,61.806042,46.885708,441077
2000-03-28,61.515408,63.501308,60.885681,60.885681,46.187534,599431
2000-03-29,61.273228,61.418495,59.868504,59.868504,45.415901,160820
2000-03-30,59.868504,60.159142,58.948242,60.062229,45.562862,262394
2000-03-31,59.868504,60.643501,58.851330,60.643501,46.003807,207784
2000-04-03,60.643501,61.031048,60.159142,60.982590,46.261040,225237
2000-04-04,61.612221,61.999763,60.546688,60.546688,45.930367,185592
2000-04-05,60.062229,60.159142,58.996601,59.238876,44.938271,127891
2000-04-06,59.287235,59.577869,58.609150,58.609150,44.460556,53668
2000-04-07,59.335690,61.418495,59.335690,60.546688,45.930367,340640
2000-04-10,61.031048,61.999763,60.546688,61.999763,47.032658,254758
2000-04-11,61.999763,62.241943,61.515408,62.241943,47.216370,323300
2000-04-12,62.290401,63.162209,62.290401,63.016937,47.804287,274882
2000-04-13,62.484123,62.871681,60.837223,61.757584,46.848946,154628
2000-04-14,61.031048,61.273228,60.352863,60.546688,45.930367,58837
2000-04-17,58.124790,58.366974,57.640430,58.366974,44.276852,137902
2000-04-18,58.463882,58.560696,57.398254,58.124790,44.093124,206034
2000-04-19,58.124790,58.124790,56.671616,57.688789,43.762379,85462
2000-04-20,57.640430,57.882610,57.495068,57.737247,43.799145,42214
2000-04-21,57.737247,57.737247,57.737247,57.737247,43.799145,0
2000-04-24,57.737247,57.737247,57.737247,57.737247,43.799145,0
2000-04-25,58.221603,58.318516,57.398254,58.318516,44.240089,120664
2000-04-26,58.318516,59.626328,58.076336,59.626328,45.232185,215226
2000-04-27,60.256050,60.256050,58.124790,58.415428,44.313602,83404
2000-04-28,58.609150,58.609150,58.124790,58.415428,44.313602,60280
2000-05-01,58.415428,58.415428,58.415428,58.415428,44.313602,0
2000-05-02,58.996601,61.273228,58.996601,61.273228,46.481518,207375
2000-05-03,61.466949,62.193489,61.273228,62.193489,47.179619,82780
2000-05-04,62.726303,62.920029,61.806042,62.096676,47.106182,215431
2000-05-05,62.484123,63.162209,62.096676,63.162209,47.914486,118187
2000-05-08,63.162209,64.324753,63.162209,63.937202,48.502392,146787
2000-05-09,64.663841,64.906021,63.937202,63.937202,48.502392,164024
2000-05-10,63.695023,64.179482,63.065395,63.307575,48.024765,143583
2000-05-11,62.968483,63.162209,62.387215,62.387215,47.326584,381308
2000-05-12,62.484123,62.484123,61.031048,61.515408,46.665230,183535
2000-05-15,61.031048,61.079403,60.546688,60.788864,46.114082,125823
2000-05-16,60.982590,61.757584,59.141968,59.141968,44.864746,173104
2000-05-17,60.062229,61.031048,60.062229,61.031048,46.297798,152150
2000-05-18,61.031048,62.484123,61.031048,61.999763,47.032658,547708
2000-05-19,62.241943,62.677849,61.515408,61.515408,46.665230,133776
2000-05-22,61.951309,61.951309,59.868504,60.691956,46.040573,179297
2000-05-23,61.999763,61.999763,59.093510,59.238876,44.938271,234419
2000-05-24,59.093510,59.287235,56.623257,58.124790,44.093124,276121
2000-05-25,58.027882,58.027882,56.623257,57.640430,43.725697,217386
2000-05-26,57.156075,57.156075,54.734177,55.363808,41.998661,264155
2000-05-29,55.945076,57.156075,55.945076,56.816982,43.101032,111891
2000-05-30,57.349796,57.591976,56.477894,57.495068,43.615425,188591
2000-05-31,57.640430,58.609150,57.640430,58.609150,44.460556,176922
2000-06-01,57.640430,58.609150,57.640430,58.609150,44.460556,215738
2000-06-02,58.996601,61.515408,58.996601,61.515408,46.665230,2052962
2000-06-05,61.515408,61.612221,60.110683,60.401321,45.820095,115095
2000-06-06,60.401321,60.546688,59.965416,60.401321,45.820095,113232
2000-06-07,60.449776,60.643501,60.110683,60.498230,45.893608,95380
2000-06-08,60.595043,60.982590,60.256050,60.449776,45.856846,223998
2000-06-09,60.159142,60.401321,59.481056,60.062229,45.562862,49850
2000-06-12,60.062229,60.062229,60.062229,60.062229,45.562862,0
2000-06-13,59.674782,59.916962,58.851330,58.899788,44.681038,134083
2000-06-14,58.851330,58.996601,58.124790,58.366974,44.276852,311630
2000-06-15,58.221603,59.093510,58.173248,58.463882,44.350357,263735
2000-06-16,58.609150,58.609150,58.124790,58.366974,44.276852,76382
2000-06-19,58.463882,58.463882,58.124790,58.366974,44.276852,93722
2000-06-20,58.609150,59.093510,58.609150,58.851330,44.644276,111165
2000-06-21,59.045055,60.013870,59.045055,59.432602,45.085224,405568
2000-06-22,59.577869,60.159142,59.529415,59.820049,45.379147,171251
2000-06-23,60.013870,62.823215,59.771595,62.823215,47.657326,1065189
2000-06-26,62.871681,62.871681,62.145035,62.145035,47.142860,205931
2000-06-27,61.999763,62.096676,60.159142,60.546688,45.930367,188172
2000-06-28,60.304409,61.612221,60.207596,61.515408,46.665230,305130
2000-06-29,61.660675,61.999763,61.031048,61.466949,46.628471,249804
2000-06-30,61.466949,62.484123,61.321682,62.484123,47.400089,278701
2000-07-03,62.726303,63.259117,62.290401,62.484123,47.400089,158139
2000-07-04,62.484123,63.888844,62.484123,63.501308,48.171722,207272
2000-07-05,63.646664,63.840389,63.065395,63.646664,48.281994,113642
2000-07-06,63.646664,66.262283,63.356030,65.293465,49.531242,487017
2000-07-07,65.390381,65.390381,63.985649,64.760651,49.127056,190342
2000-07-10,64.906021,67.812271,64.906021,67.812271,51.441994,409488
2000-07-11,67.618454,67.715363,65.584091,65.874741,49.972198,438498
2000-07-12,66.310638,66.843460,65.971649,66.843460,50.707058,387194
2000-07-13,66.843460,68.102905,66.601280,67.763817,51.405239,460895
2000-07-14,68.054451,68.054451,66.891914,67.521637,51.221523,116119
2000-07-17,67.763817,70.185616,67.570000,69.459076,52.691246,535742
2000-07-18,69.749710,70.718430,69.652901,70.718430,53.646591,340230
2000-07-19,70.524719,71.784058,70.524719,71.784058,54.454975,240100
2000-07-20,71.880974,71.880974,70.379440,70.718430,53.646591,168876
2000-07-21,71.687248,71.687248,70.815338,70.960709,53.830379,88154
2000-07-24,71.202888,71.687248,70.476250,71.154434,53.977341,66883
2000-07-25,70.718430,71.590340,70.718430,70.815338,53.720104,110346
2000-07-26,71.590340,72.074692,71.202888,71.784058,54.454975,185490
2000-07-27,71.784058,71.784058,70.573158,70.718430,53.646591,61826
2000-07-28,70.573158,70.573158,68.587265,68.587265,52.029900,118494
2000-07-31,68.345085,70.524719,68.102905,70.476250,53.462868,498574
2000-08-01,70.476250,70.476250,70.476250,70.476250,53.462868,0
2000-08-02,69.895088,70.282524,68.684082,68.684082,52.103348,259712
2000-08-03,68.780991,70.621620,68.780991,70.621620,53.573151,225953
2000-08-04,71.009064,72.365334,71.009064,72.365334,54.895920,257030
2000-08-07,72.655968,73.043510,72.365334,73.043510,55.410393,343639
2000-08-08,73.237236,77.015297,72.946602,75.562218,57.321056,270245
2000-08-09,74.593498,75.320053,73.237236,74.157501,56.255451,165877
2000-08-10,74.109138,74.496590,73.624687,74.302864,56.365719,65951
2000-08-11,74.302864,74.302864,72.655968,73.140335,55.483833,82882
2000-08-14,73.140335,73.140335,70.960709,71.638794,54.344776,276950
2000-08-15,73.140335,78.759109,72.995056,78.759109,59.746197,1217340
2000-08-16,77.741936,78.468475,77.305931,78.468475,59.525726,594682
2000-08-17,77.499657,78.032471,75.901314,77.984116,59.158298,261985
2000-08-18,78.468475,79.437195,77.838745,79.437195,60.260597,203352
2000-08-21,79.437195,80.793457,78.952835,80.502831,61.068989,184456
2000-08-22,80.551277,83.651260,80.405914,82.537170,62.612217,579501
2000-08-23,82.537170,82.585625,81.326271,81.423088,61.767067,263019
2000-08-24,81.374634,82.634079,81.374634,82.440262,62.538708,257030
2000-08-25,82.827805,85.491882,82.585625,83.602798,63.420616,483506
2000-08-28,83.602798,85.346512,83.118439,84.862152,64.375931,238861
2000-08-29,84.765244,84.765244,82.537170,82.973076,62.942898,164024
2000-08-30,83.215256,83.215256,81.907539,82.343445,62.465256,228431
2000-08-31,82.343445,83.602798,82.246536,83.312164,63.200127,202830
2000-09-01,84.038704,86.896507,83.796524,86.848145,65.882507,419510
2000-09-04,86.896507,89.027763,86.605881,88.930855,67.462433,579614
2000-09-05,89.124672,89.560577,88.834038,89.560577,67.940147,362729
2000-09-06,89.512123,90.384041,88.688675,89.076218,67.572693,380694
2000-09-07,88.785591,88.785591,84.523064,85.249702,64.669945,579921
2000-09-08,84.377792,85.249702,84.038704,84.716888,64.265747,275712
2000-09-11,85.249702,85.249702,82.343445,82.343445,62.465256,167013
2000-09-12,82.343445,84.087158,80.648094,84.087158,63.788033,742503
2000-09-13,82.827805,83.457535,81.859085,83.312164,63.200127,178365
2000-09-14,83.312164,84.377792,83.166901,84.280884,63.934994,222657
2000-09-15,84.280884,86.218422,83.844978,86.218422,65.404800,516334
2000-09-18,85.976242,86.218422,84.280884,84.862152,64.375931,220180
2000-09-19,84.668434,85.734062,84.280884,85.249702,64.669945,250213
2000-09-20,85.249702,85.588707,82.585625,82.585625,62.648979,261053
2000-09-21,82.585625,82.827805,80.987183,81.229362,61.620117,410727
2000-09-22,81.132545,83.263710,79.873100,82.343445,62.465256,393489
2000-09-25,83.263710,85.201248,83.263710,84.910614,64.412704,432100
2000-09-26,84.910614,87.284050,84.571518,87.138687,66.102905,283767
2000-09-27,87.138687,88.398132,85.830872,86.702782,65.772232,448929
2000-09-28,87.090324,88.059044,86.024696,86.944962,65.955940,388125
2000-09-29,86.944962,87.526230,84.038704,86.848145,65.882507,1862087
2000-10-02,86.169968,87.187149,85.152794,86.799690,65.845749,349207
2000-10-03,86.944962,87.816864,86.799690,87.332504,66.249939,281393
2000-10-04,86.799690,87.187149,85.443428,85.685608,65.000603,299040
2000-10-05,85.540237,86.654327,85.540237,86.509056,65.625267,98062
2000-10-06,86.073151,87.187149,84.038704,84.038704,63.751278,214806
2000-10-09,84.280884,84.280884,79.970009,79.970009,60.664783,378114
2000-10-10,80.405914,81.277817,79.485649,81.277817,61.656876,407636
2000-10-11,80.212189,80.405914,73.140335,74.593498,56.586205,1854451
2000-10-12,75.901314,76.724663,72.462242,74.593498,56.586205,989216
2000-10-13,74.012230,74.012230,70.476250,71.687248,54.381531,549776
2000-10-16,74.593498,76.434029,74.593498,76.240303,57.835457,470599
2000-10-17,77.693481,83.312164,76.385674,83.312164,63.200127,581672
2000-10-18,80.405914,80.405914,76.530937,77.984116,59.158298,833441
2000-10-19,78.420021,78.565300,77.015297,77.984116,59.158298,425907
2000-10-20,79.437195,79.873100,77.063751,79.437195,60.260597,378524
2000-10-23,78.226295,79.873100,78.226295,79.291924,60.150383,138106
2000-10-24,79.824638,85.201248,79.534103,85.201248,64.633171,367274
2000-10-25,84.280884,85.152794,81.665268,82.827805,62.832687,237418
2000-10-26,82.634079,82.634079,81.229362,81.859085,62.097816,113857
2000-10-27,82.343445,84.280884,82.198082,84.280884,63.934994,215533
2000-10-30,84.280884,87.187149,83.796524,87.090324,66.066216,423328
2000-10-31,86.993416,87.429321,85.782516,86.218422,65.404800,252281
2000-11-01,86.218422,86.218422,85.152794,85.637154,64.963844,109619
2000-11-02,85.637154,86.702782,85.249702,85.830872,65.110794,306993
2000-11-03,85.830872,86.509056,84.959076,85.346512,64.743370,281700
2000-11-06,86.024696,86.315331,85.734062,86.218422,65.404800,208613
2000-11-07,86.218422,86.218422,83.796524,84.280884,63.934994,196739
2000-11-08,84.716888,84.862152,81.374634,81.374634,61.730316,267973
2000-11-09,82.246536,82.246536,77.790291,78.952835,59.893150,633702
2000-11-10,79.146561,80.405914,78.468475,79.195015,60.076878,99403
2000-11-13,79.195015,80.357452,78.323105,79.195015,60.076878,142139
2000-11-14,79.437195,81.084091,79.291924,80.405914,60.995453,175786
2000-11-15,80.212189,80.405914,77.838745,79.437195,60.260597,324129
2000-11-16,79.437195,79.921555,78.759109,79.582458,60.370796,116948
2000-11-17,79.824638,81.907539,79.340279,81.132545,61.546680,150502
2000-11-20,80.454369,83.312164,80.454369,82.779350,62.795940,183944
2000-11-21,82.924721,85.249702,81.616905,84.038704,63.751278,390296
2000-11-22,83.990257,83.990257,78.565300,78.565300,59.599186,460792
2000-11-23,78.662201,78.952835,75.320053,77.499657,58.790798,601284
2000-11-24,77.741936,78.177841,76.724663,77.015297,58.423355,203454
2000-11-27,77.112206,77.499657,75.852852,77.015297,58.423355,387921
2000-11-28,76.773117,77.305931,76.288757,76.530937,58.055931,155866
2000-11-29,76.773117,78.129379,76.143494,77.499657,58.790798,630601
2000-11-30,78.177841,79.146561,76.821571,76.918495,58.349937,310392
2000-12-01,77.596565,77.693481,75.755943,76.143494,57.762016,220068
2000-12-04,75.562218,76.046577,72.171608,72.171608,54.748966,393909
2000-12-05,72.268517,72.752876,70.621620,72.655968,55.116394,1185239
2000-12-06,75.416855,77.596565,74.884041,76.482483,58.019176,786477
2000-12-07,75.077858,75.562218,74.012230,74.835678,56.769920,160513
2000-12-08,74.690315,77.209023,74.690315,77.209023,58.570316,170934
2000-12-11,77.741936,80.357452,77.257477,80.357452,60.958687,312357
2000-12-12,80.648094,82.585625,78.565300,82.246536,62.391750,373979
2000-12-13,82.730896,83.796524,81.762184,83.796524,63.567562,348378
2000-12-14,83.699715,83.699715,81.374634,81.374634,61.730316,1039895
2000-12-15,80.745003,81.471542,78.952835,79.679375,60.444305,305437
2000-12-18,79.679375,80.890274,79.679375,80.648094,61.179176,94961
2000-12-19,80.890274,81.374634,79.630920,81.374634,61.730316,193024
2000-12-20,81.180908,81.423088,78.226295,78.226295,59.342022,290267
2000-12-21,77.499657,77.693481,76.337227,77.499657,58.790798,234838
2000-12-22,78.226295,80.405914,77.305931,78.952835,59.893150,134186
2000-12-25,78.952835,78.952835,78.952835,78.952835,59.893150,0
2000-12-26,78.952835,78.952835,78.952835,78.952835,59.893150,0
2000-12-27,81.859085,83.312164,80.405914,82.827805,62.832687,361286
2000-12-28,84.280884,86.218422,84.280884,85.830872,65.110794,405568
2000-12-29,85.249702,86.024696,84.862152,85.927788,65.184326,77314
2001-01-01,85.927788,85.927788,85.927788,85.927788,65.184326,0
2001-01-02,85.927788,85.927788,85.927788,85.927788,65.184326,0
2001-01-03,85.201248,85.491882,80.599632,82.004356,62.208015,844384
