Date,Open,High,Low,Close,Adj Close,Volume
1990-02-27,8.47,8.47,8.47,8.47,4.851264,0.0
1990-02-28,8.47,8.47,8.47,8.47,4.851264,0.0
1990-03-01,8.47,8.47,8.47,8.47,4.851264,0.0
1990-03-02,8.47,8.47,8.47,8.47,4.851264,0.0
1990-03-05,8.47,8.47,8.47,8.47,4.851264,0.0
1990-03-06,8.47,8.47,8.47,8.47,4.851264,0.0
1990-03-07,8.47,8.47,8.47,8.47,4.851264,0.0
1990-03-08,8.47,8.47,8.47,8.47,4.851264,0.0
1990-03-09,8.47,8.47,8.47,8.47,4.851264,0.0
1990-03-12,8.47,8.47,8.47,8.47,4.851264,0.0
1990-03-13,8.47,8.47,8.47,8.47,4.851264,0.0
1990-03-14,8.47,8.47,8.47,8.47,4.851264,0.0
1990-03-15,8.47,8.47,8.47,8.47,4.851264,0.0
1990-03-16,8.47,8.47,8.47,8.47,4.851264,0.0
1990-03-19,8.47,8.47,8.47,8.47,4.851264,0.0
1990-03-20,8.47,8.47,8.47,8.47,4.851264,0.0
1990-03-21,8.47,8.47,8.47,8.47,4.851264,0.0
1990-03-22,8.47,8.47,8.47,8.47,4.851264,0.0
1990-03-23,8.47,8.47,8.47,8.47,4.851264,0.0
1990-03-26,8.425,8.425,8.425,8.425,4.825489,0.0
1990-03-27,8.425,8.425,8.425,8.425,4.825489,0.0
1990-03-28,8.425,8.425,8.425,8.425,4.825489,0.0
1990-03-29,8.425,8.425,8.425,8.425,4.825489,0.0
1990-03-30,8.425,8.425,8.425,8.425,4.825489,0.0
1990-04-02,8.425,8.425,8.425,8.425,4.825489,0.0
1990-04-03,8.425,8.425,8.425,8.425,4.825489,0.0
1990-04-04,8.425,8.425,8.425,8.425,4.825489,0.0
1990-04-05,8.425,8.425,8.425,8.425,4.825489,0.0
1990-04-06,8.425,8.425,8.425,8.425,4.825489,0.0
1990-04-09,8.425,8.425,8.425,8.425,4.825489,0.0
1990-04-10,8.425,8.425,8.425,8.425,4.825489,0.0
1990-04-11,8.425,8.425,8.425,8.425,4.825489,0.0
1990-04-12,8.425,8.425,8.425,8.425,4.825489,0.0
1990-04-13,8.475,8.475,8.475,8.475,4.854127,0.0
1990-04-16,8.475,8.475,8.475,8.475,4.854127,0.0
1990-04-17,8.475,8.475,8.475,8.475,4.854127,0.0
1990-04-18,8.475,8.475,8.475,8.475,4.854127,0.0
1990-04-19,8.475,8.475,8.475,8.475,4.854127,0.0
1990-04-20,8.475,8.475,8.475,8.475,4.854127,0.0
