Date,Open,High,Low,Close,Adj Close,Volume
2006-03-24,79.949997,84.0,75.5,84.0,54.422012,2139242.0
2006-03-27,80.800003,86.75,78.5,84.0,54.422012,325315.0
2006-03-28,82.5,83.5,80.099998,81.0,52.478367,195185.0
2006-03-29,81.0,81.900002,77.300003,80.0,51.830482,170249.0
2006-03-30,79.949997,79.949997,77.75,78.0,50.534729,94971.0
2006-03-31,78.5,83.0,77.0,83.0,53.774139,75538.0
2006-04-03,81.75,84.0,79.5,80.0,51.830482,91961.0
2006-04-04,79.949997,81.0,78.199997,78.199997,50.664303,35952.0
2006-04-05,78.0,79.0,77.099998,77.599998,50.275585,12290.0
2006-04-06,78.0,78.0,77.099998,77.900002,50.469948,46020.0
2006-04-07,77.300003,77.300003,73.5,75.0,48.591103,138838.0
2006-04-10,74.25,74.5,72.300003,73.0,47.295319,85915.0
2006-04-11,72.599998,77.0,72.599998,75.650002,49.012215,33712.0
2006-04-12,75.849998,75.849998,73.5,74.0,47.943211,40360.0
2006-04-13,74.5,75.800003,74.099998,75.0,48.591103,39631.0
2006-04-14,75.0,75.0,75.0,75.0,48.591103,0.0
2006-04-17,75.0,75.0,75.0,75.0,48.591103,0.0
2006-04-18,75.900002,77.0,74.599998,76.949997,49.854454,26437.0
2006-04-19,77.0,79.25,77.0,79.050003,51.215019,132609.0
2006-04-20,79.400002,80.0,78.0,80.0,51.830482,43983.0
2006-04-21,79.199997,80.0,79.050003,80.0,51.830482,45121.0
2006-04-24,80.050003,80.050003,77.400002,77.400002,50.146008,48783.0
2006-04-25,78.5,79.0,75.599998,75.599998,48.979813,15211.0
2006-04-26,77.0,77.0,75.849998,76.599998,49.627701,22773.0
2006-04-27,77.0,77.0,75.800003,77.0,49.886845,27215.0
2006-04-28,77.0,77.5,75.800003,77.5,50.210796,22843.0
2006-05-01,77.5,77.5,77.5,77.5,50.210796,0.0
2006-05-02,77.0,82.0,77.0,78.5,50.858677,17021.0
2006-05-03,79.0,79.0,77.300003,77.300003,50.081219,29852.0
2006-05-04,78.0,81.0,78.0,79.5,51.506554,27885.0
2006-05-05,80.0,83.5,79.900002,83.5,54.098087,46080.0
2006-05-08,83.900002,84.0,82.0,84.0,54.422012,43642.0
2006-05-09,84.0,87.300003,83.5,87.0,56.365654,191839.0
2006-05-10,87.300003,87.5,85.5,86.5,56.041725,91996.0
2006-05-11,86.900002,87.699997,86.900002,87.5,56.68961,46978.0
2006-05-12,87.5,89.0,86.599998,87.0,56.365654,144163.0
2006-05-15,87.0,87.0,82.0,83.150002,53.871323,41988.0
2006-05-16,82.949997,83.199997,79.849998,81.0,52.478367,77037.0
2006-05-17,81.199997,81.699997,80.5,80.5,52.154434,23573.0
