Date,Open,High,Low,Close,Adj Close,Volume
1995-04-03,5.583333,5.583333,5.500000,5.500000,4.110175,0
1995-04-04,5.583333,5.616666,5.550000,5.583333,4.172451,0
1995-04-05,5.500000,5.550000,5.433333,5.550000,4.147541,0
1995-04-06,5.433333,5.500000,5.433333,5.433333,4.060355,0
1995-04-07,5.500000,5.566666,5.500000,5.566666,4.159994,0
1995-04-10,5.616666,5.616666,5.583333,5.583333,4.172451,0
1995-04-11,5.566666,5.600000,5.566666,5.600000,4.184905,0
1995-04-12,5.616666,5.616666,5.616666,5.616666,4.197360,0
1995-04-13,5.500000,5.500000,5.500000,5.500000,4.110175,0
1995-04-14,5.500000,5.500000,5.500000,5.500000,4.110175,0
1995-04-17,5.500000,5.500000,5.500000,5.500000,4.110175,0
1995-04-18,5.566666,5.566666,5.500000,5.566666,4.159994,0
1995-04-19,5.550000,5.550000,5.500000,5.500000,4.110175,0
1995-04-20,5.566666,5.583333,5.483333,5.483333,4.097720,0
1995-04-21,5.516666,5.550000,5.500000,5.516666,4.122630,0
1995-04-24,5.516666,5.550000,5.500000,5.516666,4.122630,0
1995-04-25,5.500000,5.516666,5.500000,5.500000,4.110175,0
1995-04-26,5.550000,5.616666,5.550000,5.616666,4.197360,0
1995-04-27,5.566666,5.600000,5.566666,5.600000,4.184905,0
1995-04-28,5.600000,5.616666,5.600000,5.616666,4.197360,0
1995-05-01,5.616666,5.616666,5.616666,5.616666,4.197360,0
1995-05-02,5.583333,5.616666,5.516666,5.516666,4.122630,0
1995-05-03,5.500000,5.575000,5.433333,5.433333,4.060355,0
1995-05-04,5.450000,5.500000,5.450000,5.483333,4.097720,0
1995-05-05,5.433333,5.500000,5.433333,5.500000,4.110175,0
1995-05-08,5.483333,5.533333,5.483333,5.533333,4.135084,0
1995-05-09,5.533333,5.583333,5.533333,5.583333,4.172451,0
1995-05-10,5.650000,5.750000,5.650000,5.716666,4.272090,0
1995-05-11,5.833333,5.916666,5.833333,5.866666,4.384186,0
1995-05-12,5.916666,5.916666,5.833333,5.833333,4.359277,0
1995-05-15,5.866666,5.866666,5.833333,5.866666,4.384186,0
1995-05-16,5.866666,5.866666,5.866666,5.866666,4.384186,0
1995-05-17,5.916666,6.000000,5.900000,5.900000,4.409097,0
1995-05-18,5.883333,5.900000,5.883333,5.900000,4.409097,0
1995-05-19,5.866666,5.866666,5.833333,5.866666,4.384186,0
1995-05-22,5.916666,5.933333,5.833333,5.833333,4.359277,0
1995-05-23,5.833333,5.883333,5.833333,5.833333,4.359277,0
1995-05-24,5.916666,6.083333,5.916666,6.083333,4.546102,0
1995-05-25,6.083333,6.083333,6.083333,6.083333,4.546102,0
1995-05-26,6.033333,6.083333,6.016666,6.016666,4.496281,0
1995-05-29,6.000000,6.050000,5.983333,6.050000,4.521192,0
1995-05-30,6.000000,6.083333,6.000000,6.000000,4.483827,0
1995-05-31,6.083333,6.500000,6.083333,6.166666,4.608377,0
1995-06-01,6.250000,6.350000,6.250000,6.333333,4.732929,0
1995-06-02,6.350000,6.350000,6.183333,6.216666,4.645743,0
1995-06-05,6.216666,6.216666,6.216666,6.216666,4.645743,0
1995-06-06,6.350000,6.366666,6.266666,6.266666,4.683108,0
1995-06-07,6.350000,6.366666,6.333333,6.333333,4.732929,0
1995-06-08,6.350000,6.350000,6.333333,6.333333,4.732929,0
1995-06-09,6.333333,6.333333,6.333333,6.333333,4.732929,0
1995-06-12,6.333333,6.333333,6.250000,6.250000,4.670654,0
1995-06-13,6.250000,6.283333,6.216666,6.216666,4.645743,0
1995-06-14,6.250000,6.383333,6.250000,6.300000,4.708019,0
1995-06-15,6.300000,6.300000,6.300000,6.300000,4.708019,0
1995-06-16,6.333333,6.350000,6.333333,6.350000,4.745384,0
1995-06-19,6.333333,6.416666,6.333333,6.350000,4.745384,0
1995-06-20,6.333333,6.333333,6.333333,6.333333,4.732929,0
1995-06-21,6.400000,6.400000,6.333333,6.400000,4.782749,0
1995-06-22,6.400000,6.400000,6.333333,6.366666,4.757839,0
1995-06-23,6.333333,6.333333,6.300000,6.300000,4.708019,0
1995-06-26,6.333333,6.366666,6.300000,6.366666,4.757839,0
1995-06-27,6.183333,6.200000,6.166666,6.166666,4.608377,0
1995-06-28,6.066666,6.083333,6.050000,6.083333,4.546102,0
1995-06-29,6.116666,6.150000,6.083333,6.083333,4.546102,0
1995-06-30,6.083333,6.083333,6.033333,6.083333,4.546102,0
1995-07-03,6.116666,6.116666,6.083333,6.083333,4.546102,0
1995-07-04,6.116666,6.116666,6.083333,6.100000,4.558558,0
1995-07-05,6.116666,6.116666,6.083333,6.116666,4.571012,0
1995-07-06,6.083333,6.150000,6.083333,6.150000,4.595924,0
1995-07-07,6.200000,6.216666,6.166666,6.166666,4.608377,0
1995-07-10,6.166666,6.200000,6.166666,6.200000,4.633288,0
1995-07-11,6.200000,6.200000,6.166666,6.166666,4.608377,0
1995-07-12,6.200000,6.233333,6.200000,6.233333,4.658198,0
1995-07-13,6.233333,6.250000,6.216666,6.216666,4.645743,0
1995-07-14,6.216666,6.250000,6.216666,6.233333,4.658198,0
1995-07-17,6.233333,6.266666,6.083333,6.250000,4.670654,0
1995-07-18,6.283333,6.333333,6.283333,6.333333,4.732929,0
1995-07-19,6.333333,6.333333,6.300000,6.300000,4.708019,0
1995-07-20,6.300000,6.450000,6.300000,6.416666,4.795203,0
1995-07-21,6.450000,6.500000,6.450000,6.450000,4.820115,0
1995-07-24,6.466666,6.466666,6.433333,6.466666,4.832569,0
1995-07-25,6.483333,6.500000,6.433333,6.433333,4.807659,0
1995-07-26,6.433333,6.500000,6.433333,6.466666,4.832569,0
1995-07-27,6.433333,6.450000,6.416666,6.433333,4.807659,0
1995-07-28,6.416666,6.416666,6.300000,6.333333,4.732929,0
1995-07-31,6.333333,6.366666,6.333333,6.366666,4.757839,0
1995-08-01,6.366666,6.366666,6.366666,6.366666,4.757839,0
1995-08-02,6.366666,6.366666,6.366666,6.366666,4.757839,0
1995-08-03,6.366666,6.400000,6.366666,6.400000,4.782749,252000
1995-08-04,6.383333,6.450000,6.383333,6.433333,4.807659,0
1995-08-07,6.450000,6.450000,6.416666,6.416666,4.795203,0
1995-08-08,6.466666,6.466666,6.450000,6.450000,4.820115,0
1995-08-09,6.466666,6.466666,6.450000,6.466666,4.832569,0
1995-08-10,6.416666,6.483333,6.416666,6.483333,4.845024,0
1995-08-11,6.416666,6.466666,6.416666,6.466666,4.832569,216000
1995-08-14,6.466666,6.566666,6.466666,6.566666,4.907300,0
1995-08-15,6.583333,6.683333,6.583333,6.683333,4.994485,0
1995-08-16,6.750000,6.766666,6.750000,6.766666,5.056760,0
1995-08-17,6.783333,6.800000,6.633333,6.666666,4.982029,0
1995-08-18,6.633333,6.633333,6.550000,6.550000,4.894845,0
1995-08-21,6.500000,6.516666,6.450000,6.450000,4.820115,0
1995-08-22,6.500000,6.550000,6.500000,6.533333,4.882389,0
1995-08-23,6.500000,6.566666,6.500000,6.566666,4.907300,5898240000
1995-08-24,6.550000,6.550000,6.550000,6.550000,4.894845,0
1995-08-25,6.500000,6.500000,6.333333,6.333333,4.732929,0
1995-08-28,5.433333,5.500000,5.433333,5.483333,4.097720,0
1995-08-29,5.533333,5.533333,5.416666,5.416666,4.047900,0
1995-08-30,5.466666,5.483333,5.466666,5.466666,4.085265,0
1995-08-31,5.500000,5.533333,5.483333,5.533333,4.135084,0
1995-09-01,5.516666,5.516666,5.433333,5.450000,4.072809,0
1995-09-04,5.516666,5.516666,5.433333,5.466666,4.085265,0
1995-09-05,5.516666,5.516666,5.433333,5.483333,4.097720,0
1995-09-06,5.600000,5.600000,5.566666,5.600000,4.184905,0
1995-09-07,5.650000,5.750000,5.633333,5.633333,4.209815,2359296000
1995-09-08,5.716666,5.716666,5.650000,5.650000,4.222270,396000
1995-09-11,5.650000,5.650000,5.650000,5.650000,4.222270,0
1995-09-12,5.650000,5.650000,5.600000,5.633333,4.209815,180000
1995-09-13,5.616666,5.633333,5.533333,5.533333,4.135084,0
1995-09-14,5.500000,5.516666,5.466666,5.500000,4.110175,0
1995-09-15,5.500000,5.500000,5.416666,5.433333,4.060355,0
1995-09-18,5.416666,5.500000,5.400000,5.400000,4.035446,0
1995-09-19,5.400000,5.433333,5.400000,5.400000,4.035446,0
1995-09-20,5.333333,5.333333,5.250000,5.250000,3.923349,0
1995-09-21,5.166666,5.166666,5.083333,5.116666,3.823707,0
1995-09-22,4.916666,4.916666,4.866666,4.866666,3.636882,0
1995-09-25,4.866666,4.900000,4.866666,4.866666,3.636882,0
1995-09-26,4.916666,5.000000,4.916666,4.933333,3.686703,0
1995-09-27,4.900000,4.983333,4.900000,4.983333,3.724067,0
1995-09-28,4.983333,4.983333,4.850000,4.850000,3.624427,0
1995-09-29,4.850000,4.866666,4.833333,4.866666,3.636882,0
1995-10-02,4.866666,4.900000,4.850000,4.850000,3.624427,0
1995-10-03,4.866666,4.866666,4.833333,4.850000,3.624427,269040
1995-10-04,4.883333,4.883333,4.833333,4.833333,3.611972,0
1995-10-05,4.833333,4.833333,4.800000,4.816666,3.599517,0
1995-10-06,4.833333,4.833333,4.800000,4.833333,3.611972,0
1995-10-09,4.900000,4.900000,4.833333,4.850000,3.624427,0
1995-10-10,4.850000,4.866666,4.833333,4.850000,3.624427,0
1995-10-11,4.850000,4.950000,4.850000,4.916666,3.674247,0
1995-10-12,4.966666,5.000000,4.966666,5.000000,3.736523,0
1995-10-13,5.033333,5.083333,5.033333,5.033333,3.761433,0
1995-10-16,5.033333,5.033333,5.033333,5.033333,3.761433,0
1995-10-17,5.133333,5.200000,5.133333,5.150000,3.848618,0
1995-10-18,5.166666,5.166666,5.133333,5.166666,3.861073,0
1995-10-19,5.166666,5.166666,5.133333,5.133333,3.836163,0
1995-10-20,5.116666,5.116666,5.083333,5.083333,3.798798,0
1995-10-23,5.016666,5.083333,5.000000,5.000000,3.736523,0
1995-10-24,4.966666,5.033333,4.966666,5.033333,3.761433,0
1995-10-25,5.083333,5.083333,4.983333,5.000000,3.736523,0
1995-10-26,4.983333,5.000000,4.966666,4.983333,3.724067,0
1995-10-27,4.966666,4.983333,4.950000,4.966666,3.711612,0
1995-10-30,4.966666,4.983333,4.883333,4.883333,3.649338,0
1995-10-31,4.883333,4.883333,4.866666,4.866666,3.636882,0
1995-11-01,4.866666,4.866666,4.850000,4.850000,3.624427,0
1995-11-02,4.833333,4.833333,4.833333,4.833333,3.611972,0
1995-11-03,4.850000,4.883333,4.833333,4.866666,3.636882,0
1995-11-06,4.833333,4.833333,4.800000,4.800000,3.587062,0
1995-11-07,4.800000,4.833333,4.766666,4.833333,3.611972,0
1995-11-08,4.866666,4.950000,4.866666,4.950000,3.699157,0
1995-11-09,5.000000,5.016666,4.966666,5.000000,3.736523,0
1995-11-10,5.050000,5.050000,5.050000,5.050000,3.773889,0
1995-11-13,5.066666,5.066666,5.016666,5.016666,3.748977,0
1995-11-14,5.050000,5.050000,4.950000,4.950000,3.699157,0
1995-11-15,4.983333,4.983333,4.916666,4.916666,3.674247,0
1995-11-16,5.000000,5.000000,4.850000,4.850000,3.624427,390900
1995-11-17,4.850000,4.850000,4.833333,4.850000,3.624427,416400
1995-11-20,4.833333,4.850000,4.766666,4.766666,3.562151,164700
1995-11-21,4.750000,4.883333,4.750000,4.833333,3.611972,0
1995-11-22,4.833333,4.850000,4.816666,4.833333,3.611972,409260
1995-11-23,4.833333,4.883333,4.800000,4.833333,3.611972,0
