Date,Open,High,Low,Close,Adj Close,Volume
2001-06-26,11.5,11.5,10.375,11.075,10.376928,2071842.0
2001-06-27,11.075,11.075,10.0,10.3,9.650777,159502.0
2001-06-28,10.3,10.5,10.1,10.35,9.697626,106930.0
2001-06-29,10.5,10.8,10.5,10.725,10.048988,106865.0
2001-07-02,10.675,10.8,10.175,10.425,9.7679,23717.0
2001-07-03,10.625,10.75,10.05,10.15,9.510232,123400.0
2001-07-04,10.25,10.65,10.175,10.625,9.955292,15835.0
2001-07-05,10.625,10.625,10.5,10.5,9.838171,3040.0
2001-07-06,10.475,10.475,10.0,10.0,9.369686,97199.0
2001-07-09,10.0,10.075,10.0,10.0,9.369686,29910.0
2001-07-10,9.8,10.0,9.8,9.85,9.229141,43452.0
2001-07-11,9.85,9.85,9.55,9.55,8.94805,4810.0
2001-07-12,10.0,10.8,10.0,10.525,9.861594,6419.0
2001-07-13,10.525,10.525,10.525,10.525,9.861594,0.0
2001-07-16,10.625,10.625,10.425,10.425,9.7679,1065.0
2001-07-17,10.5,10.5,9.85,10.0,9.369686,26595.0
2001-07-18,10.0,10.0,9.5,9.5,8.901203,28815.0
2001-07-19,9.5,9.5,8.5,9.25,8.666959,46803.0
2001-07-20,9.45,9.5,9.45,9.5,8.901203,3070.0
2001-07-23,9.45,9.45,9.0,9.125,8.54984,5128.0
2001-07-24,8.9,8.9,8.7,8.7,8.151628,4500.0
2001-07-25,8.625,8.7,8.625,8.65,8.104777,5700.0
2001-07-26,8.75,9.5,8.75,9.25,8.666959,13151.0
2001-07-27,9.425,9.5,9.25,9.5,8.901203,23020.0
2001-07-30,9.5,9.5,9.5,9.5,8.901203,1950.0
2001-07-31,9.475,9.5,9.25,9.5,8.901203,3648.0
2001-08-01,9.25,9.75,9.25,9.75,9.135445,10000.0
2001-08-02,9.5,9.875,9.5,9.875,9.252566,24034.0
2001-08-03,11.45,11.45,10.125,10.125,9.486808,545.0
2001-08-06,10.125,10.125,9.525,9.525,8.924625,14667.0
2001-08-07,9.575,11.4,9.575,10.5,9.838171,24337.0
2001-08-08,10.5,10.8,10.4,10.5,9.838171,22228.0
2001-08-09,10.5,11.0,10.25,11.0,10.306655,20181.0
2001-08-10,10.85,11.0,10.65,10.65,9.978717,25775.0
2001-08-13,10.6,10.6,10.5,10.5,9.838171,5503.0
2001-08-14,10.75,10.775,10.5,10.775,10.095836,9930.0
2001-08-15,10.55,10.75,10.55,10.75,10.072412,512.0
2001-08-16,10.625,10.75,10.5,10.5,9.838171,10191.0
2001-08-17,10.35,10.35,9.5,10.0,9.369686,11134.0
2001-08-20,10.0,10.0,9.625,9.875,9.252566,11020.0
2001-08-21,10.0,10.0,10.0,10.0,9.369686,33092.0
2001-08-22,9.625,10.0,9.625,10.0,9.369686,9894.0
2001-08-23,9.875,9.875,9.875,9.875,9.252566,5000.0
2001-08-24,10.0,10.0,9.75,9.75,9.135445,1750.0
2001-08-27,9.75,9.75,8.875,9.5,8.901203,11045.0
2001-08-28,9.65,9.65,9.25,9.5,8.901203,27264.0
2001-08-29,9.25,9.3,9.0,9.0,8.432717,43050.0
2001-08-30,9.0,9.0,8.875,8.875,8.315597,1100.0
2001-08-31,8.625,8.625,8.625,8.625,8.081354,500.0
2001-09-03,8.625,8.625,8.625,8.625,8.081354,500.0
2001-09-04,8.5,8.625,8.45,8.45,7.917385,16795.0
2001-09-05,8.4,8.4,8.3,8.4,7.870537,7068.0
2001-09-06,8.4,8.4,7.5,7.5,7.027264,16930.0
2001-09-07,7.5,7.5,7.5,7.5,7.027264,500.0
2001-09-10,7.5,7.5,7.0,7.4,6.933568,1200.0
2001-09-11,7.25,7.25,6.875,6.875,6.441659,1750.0
2001-09-12,7.0,7.0,6.0,6.875,6.441659,4623.0
2001-09-13,6.875,6.875,6.5,6.85,6.418236,1290.0
2001-09-14,6.875,6.875,6.25,6.625,6.207417,1020.0
2001-09-17,6.25,6.25,5.5,6.125,5.738933,750.0
2001-09-18,6.0,6.5,5.5,6.5,6.090296,13670.0
2001-09-19,6.5,6.5,6.25,6.375,5.973175,2195.0
2001-09-20,6.5,6.5,5.5,5.875,5.504691,13150.0
2001-09-21,5.65,6.125,5.5,6.125,5.738933,800.0
2001-09-24,6.125,6.125,5.5,6.125,5.738933,8740.0
2001-09-25,6.0,6.0,5.25,5.5,5.153327,1400.0
2001-09-26,5.5,6.45,5.5,6.25,5.856053,10476.0
2001-09-27,6.25,6.325,5.55,5.625,5.270448,8981.0
2001-09-28,5.625,5.625,5.625,5.625,5.270448,0.0
2001-10-01,6.0,6.0,5.75,5.75,5.387569,300.0
2001-10-02,5.8,6.0,5.8,6.0,5.621812,10300.0
2001-10-03,5.75,5.75,5.125,5.125,4.801964,3630.0
2001-10-04,4.0,5.74,3.8,5.6,5.247025,977585.0
2001-10-05,5.5,6.0,5.3,5.5,5.153327,176550.0
2001-10-08,5.8,5.8,4.85,4.9,4.591146,156571.0
2001-10-09,5.02,5.95,5.0,5.3,4.965933,222562.0
2001-10-10,5.36,5.74,5.3,5.3,4.965933,71565.0
2001-10-11,5.75,5.75,5.24,5.3,4.965933,167009.0
2001-10-12,5.24,5.59,5.24,5.3,4.965933,130047.0
2001-10-15,5.55,5.55,5.16,5.35,5.012782,92500.0
2001-10-16,5.45,5.65,5.45,5.65,5.293873,59534.0
2001-10-17,5.7,6.64,5.7,6.25,5.856053,104913.0
2001-10-18,6.3,6.4,6.25,6.3,5.902903,128320.0
2001-10-19,6.5,6.7,6.35,6.5,6.090296,48180.0
2001-10-22,6.99,6.99,6.52,6.99,6.549409,5598.0
2001-10-23,6.99,6.99,6.55,6.99,6.549409,5087.0
2001-10-24,7.01,7.01,6.0,6.05,5.66866,56418.0
2001-10-25,6.9,6.9,6.0,6.0,5.621812,131220.0
2001-10-26,6.22,6.33,6.1,6.2,5.809206,95498.0
2001-10-29,6.3,6.64,6.3,6.5,6.090296,110640.0
2001-10-30,6.5,6.5,6.0,6.4,5.996599,46621.0
2001-10-31,6.2,6.4,6.1,6.2,5.809206,52775.0
2001-11-01,6.1,6.3,6.1,6.15,5.762357,8272.0
2001-11-02,6.28,6.28,6.02,6.17,5.781096,18755.0
2001-11-05,6.3,6.8,6.2,6.33,5.931011,165049.0
2001-11-06,6.42,7.4,6.4,6.8,6.371387,62900.0
2001-11-07,7.0,7.1,6.95,7.05,6.605629,12204.0
2001-11-08,7.5,8.0,6.82,7.2,6.746175,177110.0
2001-11-09,7.17,7.25,7.05,7.25,6.793023,4860.0
2001-11-12,7.15,7.15,7.0,7.0,6.558781,12142.0
2001-11-13,7.1,7.5,7.0,7.5,7.027264,44211.0
2001-11-14,7.6,10.0,7.6,8.8,8.245323,279612.0
2001-11-15,8.9,9.04,8.75,8.9,8.339021,116200.0
2001-11-16,8.95,10.95,8.7,10.2,9.557079,73334.0
2001-11-19,11.0,13.0,10.2,11.3,10.587747,67323.0
2001-11-20,11.2,11.2,10.0,10.0,9.369686,16453.0
2001-11-21,10.0,10.0,9.0,9.5,8.901203,44197.0
2001-11-22,9.6,9.6,9.3,9.5,8.901203,67474.0
2001-11-23,9.75,9.75,9.5,9.6,8.9949,105154.0
2001-11-26,10.0,10.6,9.8,10.5,9.838171,47778.0
2001-11-27,10.3,12.1,10.3,11.5,10.775139,144034.0
2001-11-28,11.5,12.05,11.4,11.5,10.775139,163599.0
2001-11-29,11.5,11.5,10.8,10.95,10.259807,35468.0
2001-11-30,10.95,11.55,10.95,11.0,10.306655,102072.0
2001-12-03,11.0,11.2,10.5,11.0,10.306655,44129.0
2001-12-04,11.0,11.1,11.0,11.0,10.306655,23320.0
2001-12-05,11.2,11.5,11.0,11.5,10.775139,80548.0
2001-12-06,11.6,11.6,11.0,11.4,10.681442,15245.0
2001-12-07,11.2,12.15,11.2,12.0,11.243625,88134.0
2001-12-10,12.0,12.1,12.0,12.05,11.290472,80420.0
2001-12-11,11.5,12.35,11.5,12.25,11.477865,68041.0
2001-12-12,12.25,12.7,12.0,12.35,11.571564,273020.0
2001-12-13,12.3,12.35,11.25,11.4,10.681442,38794.0
2001-12-14,11.4,12.0,9.3,11.85,11.103079,48241.0
2001-12-17,12.15,12.65,11.9,12.3,11.524714,35543.0
2001-12-18,12.5,12.7,12.0,12.7,11.899501,32891.0
2001-12-19,12.05,12.15,11.25,11.25,10.540896,35935.0
2001-12-20,11.7,12.0,11.7,11.75,11.009381,6600.0
2001-12-21,12.0,12.2,11.5,11.8,11.056231,5380.0
2001-12-27,12.0,12.65,12.0,12.65,11.852654,7500.0
2001-12-28,11.5,12.7,11.5,12.5,11.712107,8850.0
2002-01-02,12.3,12.7,12.0,12.65,11.852654,12880.0
2002-01-03,12.75,14.0,12.75,13.5,12.649076,14240.0
2002-01-04,13.75,15.5,13.75,15.25,14.288773,69077.0
2002-01-07,15.25,15.9,15.25,15.5,14.523014,106075.0
2002-01-08,15.0,15.3,15.0,15.25,14.288773,25661.0
2002-01-09,15.5,16.1,15.5,15.75,14.757256,113236.0
2002-01-10,15.75,18.9,15.75,17.549999,16.4438,225812.0
2002-01-11,17.5,17.85,17.049999,17.1,16.022163,66385.0
2002-01-14,17.0,17.35,17.0,17.049999,15.975314,56110.0
2002-01-15,16.5,16.5,15.9,16.0,14.991498,74143.0
2002-01-16,16.0,16.0,14.9,15.2,14.241922,66554.0
2002-01-17,16.5,16.5,15.35,15.5,14.523014,23760.0
2002-01-18,15.5,16.25,15.15,15.3,14.33562,30580.0
2002-01-21,15.2,15.35,15.2,15.35,14.382468,15500.0
2002-01-22,15.3,15.3,15.05,15.25,14.288773,67070.0
2002-01-23,15.5,15.6,15.5,15.6,14.616711,15570.0
2002-01-24,16.0,19.0,15.5,16.5,15.459984,57161.0
2002-01-25,17.25,18.0,17.25,17.5,16.396954,47176.0
2002-01-28,17.5,17.5,17.25,17.299999,16.209555,12680.0
2002-01-29,17.1,17.1,16.4,16.5,15.459984,34059.0
2002-01-30,16.0,16.700001,15.1,16.0,14.991498,83555.0
2002-01-31,16.5,16.5,16.1,16.15,15.132043,7914.0
2002-02-01,16.200001,16.200001,15.5,15.5,14.523014,51120.0
2002-02-04,16.700001,16.75,15.9,15.9,14.897802,6436.0
2002-02-05,15.85,16.0,15.15,15.6,14.616711,70029.0
2002-02-06,15.5,15.8,15.5,15.65,14.663559,33740.0
2002-02-07,15.65,16.0,15.5,16.0,14.991498,17268.0
2002-02-08,16.799999,16.9,15.95,16.0,14.991498,30699.0
2002-02-11,16.0,16.25,16.0,16.0,14.991498,28030.0
2002-02-12,16.0,16.200001,16.0,16.0,14.991498,34968.0
2002-02-13,16.0,16.1,16.0,16.0,14.991498,48000.0
2002-02-14,16.0,16.1,16.0,16.049999,15.038345,10377.0
