Date,Open,High,Low,Close,Adj Close,Volume
2001-10-01,55.599998,57.0,55.0,56.0,29.106619,522717
2001-10-02,54.0,55.0,48.5,52.5,27.287457,1181532
2001-10-03,52.0,52.0,49.599998,51.0,26.507805,587273
2001-10-04,54.5,58.950001,54.150002,58.5,30.406019,1205438
2001-10-05,57.099998,59.5,54.599998,55.799999,29.002666,988837
2001-10-08,54.150002,60.75,54.0,60.0,31.185656,516777
2001-10-09,61.5,62.75,57.0,62.75,32.615002,866017
2001-10-10,61.799999,68.0,61.0,66.0,34.30423,963790
2001-10-11,68.400002,70.099998,65.800003,68.300003,35.49968,1063597
2001-10-12,68.900002,68.900002,64.0,65.699997,34.148304,817137
2001-10-15,66.0,66.0,62.799999,63.049999,32.770931,453961
2001-10-16,61.0,67.599998,61.0,65.900002,34.252251,600471
2001-10-17,67.949997,71.0,67.0,69.300003,36.01944,900863
2001-10-18,66.050003,67.699997,64.5,65.0,33.784466,1119923
2001-10-19,65.0,66.449997,62.25,64.150002,33.34267,410628
2001-10-22,65.75,67.0,64.0,67.0,34.823994,514774
2001-10-23,68.75,72.150002,68.050003,70.5,36.643158,1303540
2001-10-24,70.0,74.5,68.550003,74.0,38.462315,1441261
2001-10-25,74.599998,75.949997,72.650002,73.0,37.942566,1324679
2001-10-26,74.900002,76.5,73.900002,75.099998,39.03405,542195
2001-10-29,74.75,75.349998,72.650002,73.949997,38.436325,685715
2001-10-30,72.800003,72.900002,70.550003,70.900002,36.851055,724618
2001-10-31,70.900002,73.949997,69.75,72.300003,37.578728,838529
2001-11-01,72.0,73.150002,71.050003,73.0,37.942566,277011
2001-11-02,73.5,75.099998,71.5,73.0,37.942566,797465
2001-11-05,73.050003,77.0,72.949997,76.400002,39.70974,782651
2001-11-06,77.25,78.099998,75.75,77.050003,40.047588,543462
2001-11-07,76.300003,77.800003,75.75,76.699997,39.865673,548725
2001-11-08,77.699997,79.900002,76.699997,79.75,41.450939,705620
2001-11-09,79.400002,80.0,77.900002,78.449997,40.775253,548835
2001-11-12,80.0,80.0,77.25,78.050003,40.567348,608900
2001-11-13,79.0,82.699997,77.75,82.349998,42.802326,968786
2001-11-14,84.949997,86.199997,83.150002,84.900002,44.12772,1328967
2001-11-15,85.0,88.5,85.0,88.449997,45.972866,1020985
2001-11-16,88.0,92.949997,87.800003,91.449997,47.532146,1454851
2001-11-19,90.949997,91.800003,88.199997,89.5,46.518616,984668
2001-11-20,88.699997,90.0,84.5,85.900002,44.647469,0
2001-11-21,85.300003,85.900002,84.050003,85.0,44.17968,1718468
2001-11-22,84.5,87.050003,84.5,85.0,44.17968,306077
2001-11-23,84.5,85.949997,83.050003,83.650002,43.478008,444064
2001-11-26,84.5,84.75,83.349998,84.400002,43.867832,508867
2001-11-27,84.699997,88.900002,83.599998,88.300003,45.894897,1431993
2001-11-28,86.849998,87.75,83.400002,84.0,43.659924,912749
2001-11-29,82.849998,87.449997,81.599998,86.800003,45.115269,858305
2001-11-30,87.099998,88.25,85.0,85.0,44.17968,1053077
2001-12-03,85.5,87.300003,83.75,86.099998,44.751427,538572
2001-12-04,86.800003,89.849998,86.650002,89.099998,46.310707,639587
2001-12-05,90.0,97.199997,89.599998,96.699997,50.260895,1610703
2001-12-06,97.0,99.099998,94.650002,98.5,51.196461,1498856
2001-12-07,98.400002,98.949997,95.900002,97.0,50.416824,687710
2001-12-10,96.300003,96.5,92.75,92.900002,48.285805,754863
2001-12-11,95.0,96.75,92.050003,95.75,49.767117,1054815
2001-12-12,96.75,98.400002,94.75,95.0,49.377308,995185
2001-12-13,94.349998,95.800003,90.599998,92.0,47.818012,680240
2001-12-14,93.0,93.0,90.0,92.199997,47.921986,509836
2001-12-17,92.0,94.599998,91.599998,92.0,47.818012,322492
2001-12-18,92.75,93.25,90.699997,91.25,47.428192,431419
2001-12-19,91.25,91.75,90.400002,90.550003,47.064369,325392
2001-12-20,90.150002,92.0,90.0,90.300003,46.934429,573205
2001-12-21,90.300003,92.5,89.75,90.199997,46.882454,611352
2001-12-24,90.199997,90.199997,90.199997,90.199997,46.882454,0
2001-12-25,90.199997,90.199997,90.199997,90.199997,46.882454,0
2001-12-26,90.199997,90.199997,90.199997,90.199997,46.882454,0
2001-12-27,89.800003,91.0,89.800003,90.400002,46.986389,389930
2001-12-28,90.849998,92.0,90.099998,90.25,46.908443,136601
2001-12-31,90.25,90.25,90.25,90.25,46.908443,0
2002-01-01,90.25,90.25,90.25,90.25,46.908443,0
2002-01-02,90.099998,92.5,89.900002,92.5,48.077888,266113
2002-01-03,93.449997,93.449997,91.5,93.25,48.467724,299446
2002-01-04,93.650002,96.199997,93.650002,95.25,49.507229,551096
2002-01-07,97.400002,97.400002,92.5,94.199997,48.961487,489359
2002-01-08,94.449997,95.449997,93.5,93.5,48.59766,287786
2002-01-09,93.050003,96.550003,93.050003,96.199997,50.001011,444604
2002-01-10,97.25,97.25,95.099998,95.599998,49.689167,576538
2002-01-11,95.599998,97.599998,95.550003,96.650002,50.234901,583576
2002-01-14,97.0,97.449997,95.199997,95.699997,49.741135,616746
