Date,Open,High,Low,Close,Adj Close,Volume
2001-10-01,46.941246,47.625095,44.450089,44.938553,34.09013,439859
2001-10-02,44.938553,45.231628,43.277779,43.570854,33.052601,497724
2001-10-03,43.815086,46.794708,42.740471,46.794708,35.498199,523847
2001-10-04,47.380863,50.995487,47.380863,48.015865,36.424561,604324
2001-10-05,48.308941,48.308941,44.498936,45.427013,34.46067,366333
2001-10-08,44.694321,47.185478,44.450089,46.794708,35.498199,352872
2001-10-09,46.745861,46.990093,46.208553,46.403938,35.201759,142477
2001-10-10,46.794708,47.869328,46.306248,47.869328,36.313393,184517
2001-10-11,48.943943,50.800102,48.650867,50.604717,38.388447,387133
2001-10-12,50.995487,51.288563,49.627792,49.725483,37.721462,188274
2001-10-15,49.237022,49.237022,47.869328,48.162403,36.535721,239629
2001-10-16,48.650867,48.650867,46.892403,47.185478,35.794624,171845
2001-10-17,47.42971,49.530098,47.42971,48.846252,37.054493,223374
2001-10-18,47.576248,49.432407,46.208553,49.334713,37.425026,326831
2001-10-19,49.725483,49.725483,47.283173,47.283173,35.86874,169859
2001-10-22,47.185478,47.869328,47.087788,47.869328,36.313393,160329
2001-10-23,47.967018,49.041637,47.722786,48.797405,37.017437,367561
2001-10-24,48.846252,51.386257,48.504326,50.409332,38.240231,275343
2001-10-25,50.604717,51.777027,49.627792,50.213947,38.09201,437894
2001-10-26,51.386257,51.386257,50.311638,51.288563,38.9072,105893
2001-10-29,50.995487,51.581642,50.409332,51.581642,39.129536,215564
2001-10-30,50.800102,50.995487,49.334713,49.334713,37.425026,440310
2001-10-31,49.627792,50.213947,48.650867,48.748558,36.980373,264790
2001-11-01,48.650867,48.943943,47.869328,48.357788,36.683941,136786
2001-11-02,48.797405,48.846252,48.260098,48.60202,36.869209,115638
2001-11-05,48.846252,49.823177,48.797405,48.943943,37.12859,273869
2001-11-06,49.334713,50.507023,49.334713,50.311638,38.166122,418762
2001-11-07,50.897793,51.777027,50.311638,51.777027,39.277756,358236
2001-11-08,51.777027,54.317032,51.777027,54.219337,41.13047,362494
2001-11-09,54.219337,55.489342,53.047028,54.610107,41.426918,366589
2001-11-12,54.707802,54.707802,51.972412,52.265488,39.648296,247019
2001-11-13,52.753952,54.903187,52.753952,54.317032,41.204582,264984
2001-11-14,54.317032,59.103966,54.317032,56.954727,43.205532,667185
2001-11-15,57.247807,60.569351,57.247807,60.178581,45.651123,694126
2001-11-16,60.080891,60.276276,58.420116,59.103966,44.83593,388033
