Date,Open,High,Low,Close,Adj Close,Volume
2001-10-01,23.5,23.6,22.35,23.0,15.032378,436381.0
2001-10-02,23.0,23.5,20.85,22.5,14.70559,784805.0
2001-10-03,21.5,22.15,21.200001,22.15,14.476833,438185.0
2001-10-04,23.0,23.5,21.700001,22.200001,14.509515,618596.0
2001-10-05,22.35,22.6,20.65,22.450001,14.67291,867168.0
2001-10-08,21.200001,22.299999,21.200001,21.700001,14.182722,398698.0
2001-10-09,22.049999,23.9,21.25,23.200001,15.163097,565381.0
2001-10-10,22.9,24.6,22.75,24.25,15.849357,517575.0
2001-10-11,24.700001,25.549999,24.5,25.1,16.404902,805799.0
2001-10-12,25.0,25.5,24.25,24.6,16.078112,305888.0
2001-10-15,23.950001,25.9,23.75,24.6,16.078112,407986.0
2001-10-16,23.5,25.0,23.5,23.950001,15.653282,506199.0
2001-10-17,22.5,26.25,22.0,26.0,16.993124,1336926.0
2001-10-18,25.049999,26.049999,24.25,25.049999,16.372221,852419.0
2001-10-19,24.5,25.549999,24.25,25.049999,16.372221,1110240.0
2001-10-22,25.25,26.75,25.25,26.5,17.319916,1169692.0
2001-10-23,26.9,27.799999,26.5,26.950001,17.614025,783403.0
2001-10-24,26.049999,28.200001,26.049999,27.200001,17.777424,625654.0
2001-10-25,27.65,27.950001,26.700001,26.9,17.58135,606004.0
2001-10-26,27.200001,28.299999,26.9,27.75,18.136896,454981.0
2001-10-29,27.5,28.1,27.299999,27.299999,17.842777,339305.0
2001-10-30,27.049999,27.25,26.200001,26.4,17.254559,541432.0
2001-10-31,26.0,27.1,25.6,26.549999,17.352592,467759.0
2001-11-01,25.299999,26.299999,25.049999,25.700001,16.797049,1174804.0
2001-11-02,26.799999,27.200001,26.0,27.200001,17.777424,552518.0
2001-11-05,27.35,28.0,27.0,27.75,18.136896,344100.0
2001-11-06,28.0,28.4,27.5,27.65,18.071533,369120.0
2001-11-07,27.5,28.299999,27.299999,28.15,18.398323,187003.0
2001-11-08,28.450001,29.1,28.200001,28.5,18.627077,447773.0
2001-11-09,28.049999,28.4,27.75,27.75,18.136896,418177.0
2001-11-12,28.0,28.200001,27.25,27.5,17.973495,578151.0
2001-11-13,27.5,28.799999,27.25,28.799999,18.823153,545252.0
2001-11-14,29.0,29.049999,28.25,28.5,18.627077,466519.0
2001-11-15,29.0,30.9,28.950001,30.299999,19.803528,969972.0
2001-11-16,30.5,32.849998,30.5,32.849998,21.47016,1187560.0
2001-11-19,33.5,34.900002,33.5,34.0,22.221781,920950.0
2001-11-20,33.900002,33.900002,31.85,32.700001,21.372122,928229.0
2001-11-21,32.349998,33.0,32.0,32.049999,20.947294,514983.0
2001-11-22,32.400002,33.599998,31.549999,32.599998,21.306761,836237.0
2001-11-23,32.599998,33.5,32.049999,33.299999,21.764269,297236.0
2001-11-26,34.0,34.650002,33.650002,34.0,22.221781,674819.0
2001-11-27,34.200001,34.200001,33.0,33.25,21.731592,523111.0
2001-11-28,33.099998,33.25,32.5,32.650002,21.339445,410667.0
2001-11-29,32.450001,32.450001,31.25,31.549999,20.620501,575654.0
2001-11-30,31.549999,32.0,30.700001,30.700001,20.06496,1300195.0
2001-12-03,30.700001,31.0,30.1,30.799999,20.130318,674859.0
2001-12-04,30.9,31.4,29.85,30.700001,20.06496,349813.0
2001-12-05,30.5,31.35,30.4,31.15,20.35907,344525.0
2001-12-06,31.299999,32.349998,30.6,32.0,20.914616,475557.0
2001-12-07,32.0,32.400002,31.549999,31.75,20.751219,322732.0
2001-12-10,31.4,31.5,29.85,30.0,19.60745,569194.0
2001-12-11,30.25,30.450001,28.799999,29.5,19.280663,523009.0
2001-12-12,29.299999,29.9,28.450001,28.6,18.692436,566903.0
2001-12-13,28.25,29.4,27.950001,28.1,18.365646,802296.0
2001-12-14,27.9,28.799999,27.6,28.549999,18.659758,235703.0
2001-12-17,28.75,29.950001,28.75,29.65,19.378698,306388.0
2001-12-18,29.299999,29.950001,29.0,29.700001,19.411377,308683.0
2001-12-19,29.75,29.75,28.6,29.6,19.346018,392630.0
2001-12-20,30.0,30.25,29.0,30.25,19.770847,421535.0
2001-12-21,30.200001,30.75,29.5,30.75,20.097637,589470.0
2001-12-24,30.75,30.75,30.75,30.75,20.097637,0.0
2001-12-25,30.75,30.75,30.75,30.75,20.097637,0.0
2001-12-26,30.75,30.75,30.75,30.75,20.097637,0.0
2001-12-27,30.5,31.700001,30.5,31.4,20.522467,134454.0
2001-12-28,31.6,31.6,30.6,31.25,20.424429,142611.0
2001-12-31,31.25,31.25,31.25,31.25,20.424429,0.0
2002-01-01,31.25,31.25,31.25,31.25,20.424429,0.0
2002-01-02,31.450001,31.9,30.799999,31.4,20.522467,115808.0
2002-01-03,31.6,32.5,31.4,32.299999,21.110689,289828.0
2002-01-04,32.75,33.700001,32.650002,33.349998,21.796951,453881.0
2002-01-07,33.5,34.5,33.5,34.099998,22.287134,642355.0
2002-01-08,33.700001,33.950001,33.25,33.799999,22.091061,313558.0
2002-01-09,33.950001,34.0,33.0,33.599998,21.960344,179070.0
2002-01-10,33.25,33.599998,32.299999,32.349998,21.143366,350070.0
2002-01-11,32.700001,33.0,32.200001,32.349998,21.143366,300770.0
2002-01-14,32.049999,32.25,31.65,31.700001,20.718542,333305.0
2002-01-15,31.299999,31.799999,31.15,31.4,20.522467,281588.0
2002-01-16,31.4,31.950001,31.15,31.75,20.751219,471344.0
2002-01-17,31.35,31.75,30.0,30.75,20.097637,573786.0
2002-01-18,31.5,31.5,31.0,31.1,20.326393,539217.0
2002-01-21,31.75,31.799999,30.75,31.25,20.424429,635471.0
2002-01-22,30.75,31.5,30.75,31.1,20.326393,347395.0
2002-01-23,31.1,32.299999,31.0,32.25,21.078011,525486.0
2002-01-24,32.400002,32.950001,32.049999,32.849998,21.47016,575307.0
2002-01-25,33.0,33.0,31.799999,32.650002,21.339445,472297.0
2002-01-28,32.650002,33.450001,32.150002,33.099998,21.633554,542801.0
2002-01-29,33.299999,33.299999,32.549999,33.0,21.568199,514049.0
2002-01-30,32.049999,32.450001,31.700001,32.0,20.914616,557932.0
