Date,Open,High,Low,Close,Adj Close,Volume
2001-10-01,476.5,494.0,476.5,490.0,310.635773,40100
2001-10-02,490.0,494.5,487.0,494.0,313.17157,27300
2001-10-03,494.0,494.0,494.0,494.0,313.17157,0
2001-10-04,490.0,495.0,487.0,488.5,309.684814,38800
2001-10-05,490.0,495.0,487.0,488.0,309.367859,19800
2001-10-08,490.0,497.0,484.0,492.5,312.220642,27900
2001-10-09,490.5,491.5,469.5,487.0,308.733887,76900
2001-10-10,488.0,489.5,482.5,486.5,308.416931,40300
2001-10-11,487.5,489.5,479.5,483.5,306.515045,37700
2001-10-12,485.5,485.5,478.5,482.5,305.881165,24800
2001-10-15,480.0,496.0,478.0,490.5,310.952728,80800
2001-10-16,490.5,490.5,490.5,490.5,310.952728,0
2001-10-17,495.0,502.0,492.0,496.5,314.756439,65800
2001-10-18,494.5,499.0,491.5,499.0,316.341309,37500
2001-10-19,500.0,503.0,497.0,501.0,317.609161,52000
2001-10-22,503.0,506.0,501.0,502.0,318.243134,41600
2001-10-23,503.0,507.0,498.5,501.0,317.609161,35400
2001-10-24,501.0,502.0,495.5,498.5,316.024353,25700
2001-10-25,499.5,501.0,493.0,495.0,313.80545,28200
2001-10-26,494.0,497.5,494.0,496.0,314.439423,20900
2001-10-29,497.0,497.0,492.0,494.0,313.17157,17100
2001-10-30,495.0,502.0,493.5,499.0,316.341309,41600
2001-10-31,496.5,508.0,496.5,500.0,316.97522,38800
2001-11-01,498.0,502.0,498.0,501.0,317.609161,36500
2001-11-02,500.0,503.0,498.0,501.0,317.609161,51100
2001-11-05,502.0,505.0,497.5,501.0,317.609161,37700
2001-11-06,502.0,504.0,496.5,498.0,315.707397,23500
2001-11-07,500.0,504.0,498.0,504.0,319.511047,26400
2001-11-08,503.0,505.0,500.0,500.0,316.97522,35100
2001-11-09,500.0,501.0,498.0,499.5,316.658295,31500
2001-11-12,500.0,504.0,498.0,500.0,316.97522,28900
2001-11-13,500.0,506.0,500.0,503.0,318.877136,26000
