Date,Open,High,Low,Close,Adj Close,Volume
2001-10-01,9.15,9.15,8.5,8.525,6.44027,651716
2001-10-02,8.75,8.75,7.7875,8.0,6.043656,707968
2001-10-03,7.9375,8.0625,7.3875,7.45,5.628155,903524
2001-10-04,8.225,8.9875,7.9,8.775,6.629135,2161080
2001-10-05,8.4,9.0,8.4,8.75,6.610249,598140
2001-10-08,8.2625,8.7,8.25,8.25,6.23252,669356
2001-10-09,8.2625,8.75,8.1875,8.625,6.515816,657376
2001-10-10,8.5,9.55,8.5,9.1,6.874659,1423684
2001-10-11,9.65,9.725,9.125,9.325,7.044636,1588016
2001-10-12,9.5,9.975,9.5,9.7125,7.337376,1434168
2001-10-15,9.925,10.0,9.3875,9.75,7.365705,516696
2001-10-16,9.9875,10.175,9.775,10.1625,7.677332,690204
2001-10-17,10.25,10.525,10.25,10.375,7.837866,782528
2001-10-18,9.975,9.975,9.5375,9.6,7.252388,1170932
2001-10-19,9.625,10.0,9.625,9.85,7.441251,432884
2001-10-22,10.125,10.2875,9.825,10.2,7.705661,689184
2001-10-23,10.375,11.375,10.375,11.0,8.310028,2162060
2001-10-24,12.125,12.3625,11.625,12.275,9.273234,3016024
2001-10-25,12.3,12.75,11.825,12.35,9.329893,1339512
2001-10-26,12.25,12.4875,12.05,12.25,9.25435,993332
2001-10-29,12.25,12.5,12.0375,12.3125,9.301563,825760
2001-10-30,12.125,12.25,11.6875,11.975,9.046599,927760
2001-10-31,11.875,12.4375,11.7375,12.375,9.34878,622856
2001-11-01,12.475,12.75,12.2,12.6875,9.58486,1014368
2001-11-02,13.0,13.25,12.875,13.0,9.820941,1224392
2001-11-05,13.1125,13.425,13.1125,13.25,10.009806,1725748
2001-11-06,13.275,13.65,13.225,13.425,10.142011,1246504
2001-11-07,13.5,13.55,13.125,13.3,10.047578,1177320
2001-11-08,13.4,14.125,13.4,13.725,10.368649,1915224
2001-11-09,13.475,14.0,13.025,13.875,10.481967,1594140
2001-11-12,13.75,13.925,13.425,13.5,10.198668,726540
2001-11-13,13.575,14.1,13.5,14.05,10.614171,961212
2001-11-14,14.125,14.175,13.625,13.825,10.444192,1148480
