Date,Open,High,Low,Close,Adj Close,Volume
2001-10-01,190.0,191.75,180.5,182.5,112.008827,7060
2001-10-02,185.0,186.0,175.0,184.75,113.389748,11508
2001-10-03,177.75,184.0,175.5,182.5,112.008827,11101
2001-10-04,189.0,199.0,186.25,188.5,115.691307,8967
2001-10-05,187.75,188.5,186.0,188.0,115.384445,7593
2001-10-08,188.5,188.5,183.75,184.75,113.389748,6001
2001-10-09,183.0,185.5,183.0,185.0,113.543198,9086
2001-10-10,182.5,183.75,180.0,182.0,111.701942,6473
2001-10-11,184.0,189.0,184.0,188.5,115.691307,23421
2001-10-12,188.5,207.0,187.75,203.5,124.897514,33410
2001-10-15,203.0,215.0,200.0,207.0,127.045639,26523
2001-10-16,212.0,218.5,209.0,214.0,131.341873,16026
2001-10-17,219.0,237.0,217.5,232.5,142.696198,35938
2001-10-18,234.0,234.0,219.0,231.5,142.082428,31578
2001-10-19,235.0,239.0,230.25,238.25,146.225235,15526
2001-10-22,225.25,234.5,214.0,224.0,137.479309,12711
2001-10-23,224.0,237.0,224.0,236.75,145.304626,27128
2001-10-24,233.0,240.75,229.0,240.0,147.299271,12024
2001-10-25,240.0,249.0,237.0,245.0,150.367996,31190
2001-10-26,247.5,261.0,245.75,258.0,158.34671,12953
2001-10-29,252.5,257.5,241.25,244.25,149.907715,26703
2001-10-30,236.5,250.0,236.5,250.0,153.436752,18497
2001-10-31,251.0,252.5,242.5,251.0,154.050507,11108
2001-11-01,253.0,253.0,245.75,248.0,152.209244,8594
2001-11-02,252.0,257.0,248.5,253.5,155.584885,5390
2001-11-05,255.5,256.0,245.0,249.25,152.976456,9965
2001-11-06,255.0,260.0,250.5,259.5,159.267365,10515
2001-11-07,259.5,274.0,256.0,268.0,164.484192,16677
2001-11-08,262.0,291.0,262.0,290.5,178.293549,19788
2001-11-09,280.0,283.0,275.5,278.0,170.621658,12227
2001-11-12,281.0,281.0,266.5,270.5,166.01857,16055
2001-11-13,281.5,282.0,270.0,280.0,171.849152,19440
2001-11-14,277.5,280.5,275.0,277.5,170.314804,19734
2001-11-15,280.5,290.0,276.5,285.0,174.917908,26275
2001-11-16,290.0,295.0,289.0,291.0,178.600372,22477
2001-11-19,279.5,295.0,274.0,285.0,174.917908,19195
2001-11-20,286.0,293.0,280.5,282.5,173.383545,23381
2001-11-21,280.0,287.0,275.0,277.0,170.007935,6785
2001-11-22,290.0,290.0,270.0,272.5,167.246048,10181
2001-11-23,272.5,282.0,272.0,282.0,173.07666,10670
2001-11-26,298.0,298.0,275.5,277.5,170.314804,13740
2001-11-27,281.5,292.0,281.5,285.0,174.917908,17226
2001-11-28,284.0,284.0,274.0,277.0,170.007935,18990
2001-11-29,274.5,283.0,272.5,278.0,170.621658,16074
2001-11-30,281.5,281.5,265.5,268.0,164.484192,18542
2001-12-03,274.0,280.0,270.0,271.5,166.632294,11260
2001-12-04,273.5,279.0,269.0,279.0,171.235428,20914
2001-12-05,279.0,283.0,275.5,283.0,173.690414,3631
2001-12-06,274.0,302.0,274.0,302.0,185.351578,21802
2001-12-07,302.0,323.5,300.0,315.0,193.330261,55768
2001-12-10,315.0,317.5,293.0,296.0,181.669128,14074
2001-12-11,290.0,298.0,290.0,293.0,179.827881,11640
2001-12-12,291.5,300.5,291.5,294.0,180.44162,8863
2001-12-13,292.0,293.0,270.5,270.5,166.01857,13190
2001-12-14,269.0,279.5,268.5,274.5,168.473557,5963
2001-12-17,271.5,279.0,270.0,278.5,170.928558,4161
2001-12-18,279.5,279.5,270.0,270.0,165.7117,4121
2001-12-19,275.0,281.5,262.0,262.0,160.801712,19174
2001-12-20,264.5,271.5,262.0,266.0,163.256714,19088
2001-12-21,270.5,270.5,260.0,260.0,159.574219,19011
2001-12-24,260.0,260.0,260.0,260.0,159.574219,0
2001-12-25,260.0,260.0,260.0,260.0,159.574219,0
2001-12-26,260.0,260.0,260.0,260.0,159.574219,0
2001-12-27,264.0,268.0,261.0,267.0,163.870453,5874
2001-12-28,264.0,269.5,262.0,266.5,163.563568,2975
2001-12-31,266.5,266.5,266.5,266.5,163.563568,0
2002-01-01,266.5,266.5,266.5,266.5,163.563568,0
2002-01-02,270.0,274.5,266.5,271.5,166.632294,10142
2002-01-03,268.0,283.0,268.0,283.0,173.690414,11569
2002-01-04,289.5,296.0,285.5,293.0,179.827881,12924
2002-01-07,295.0,295.0,282.0,283.0,173.690414,5650
2002-01-08,280.0,284.0,277.0,281.5,172.769806,7018
2002-01-09,281.5,286.5,280.0,283.0,173.690414,6623
2002-01-10,283.0,283.0,275.5,279.0,171.235428,8393
2002-01-11,276.0,285.0,275.0,284.5,174.611008,8445
2002-01-14,275.5,286.0,275.5,282.0,173.07666,11030
2002-01-15,272.0,283.0,272.0,280.0,171.849152,7022
2002-01-16,277.5,284.0,271.5,272.0,166.939194,11392
2002-01-17,272.0,274.0,265.5,268.0,164.484192,13418
2002-01-18,272.0,272.0,265.0,267.5,164.177322,10084
2002-01-21,272.0,272.0,260.0,260.0,159.574219,13719
2002-01-22,259.0,261.5,257.5,257.5,158.039856,11066
2002-01-23,272.0,294.0,272.0,292.0,179.214111,57805
2002-01-24,292.0,319.0,290.0,317.5,194.864685,101696
2002-01-25,319.0,327.5,309.0,316.5,194.250916,58259
2002-01-28,316.0,316.0,310.0,310.0,190.261566,17204
2002-01-29,310.0,311.5,307.0,310.0,190.261566,12338
2002-01-30,304.5,312.0,303.0,305.0,187.192856,42852
2002-01-31,306.0,312.0,306.0,310.0,190.261566,12417
2002-02-01,317.0,318.0,308.0,313.0,192.102783,10223
2002-02-04,315.0,321.0,310.5,321.0,197.012802,12601
2002-02-05,315.0,327.0,311.0,325.0,199.467758,28786
2002-02-06,325.0,337.0,323.0,330.0,202.536499,63136
2002-02-07,330.0,337.0,325.0,337.0,206.832718,12550
2002-02-08,337.0,350.0,333.0,347.0,212.97023,22199
2002-02-11,349.0,360.0,333.0,343.0,210.515213,37154
2002-02-12,347.0,347.0,328.0,328.5,201.615845,17255
2002-02-13,327.0,335.0,323.0,332.0,203.764053,28481
2002-02-14,330.5,340.0,330.5,338.5,207.753357,7491
2002-02-15,336.5,339.0,334.5,335.5,205.912125,11635
2002-02-18,336.0,339.5,335.0,336.0,206.219009,8816
2002-02-19,336.0,336.0,328.5,330.0,202.536499,17235
2002-02-20,330.5,336.0,328.0,335.0,205.60527,22261
2002-02-21,333.5,338.0,331.5,336.0,206.219009,11386
2002-02-22,340.0,340.0,333.5,333.5,204.684616,9290
2002-02-25,331.5,334.0,328.5,333.0,204.377731,8136
2002-02-26,331.0,331.5,329.0,331.5,203.457138,17202
2002-02-27,330.0,331.0,328.0,328.5,201.615845,21783
2002-02-28,330.0,334.0,325.0,326.5,200.388382,15524
2002-03-01,326.0,331.0,322.0,328.0,201.309006,8169
2002-03-04,337.5,340.0,331.0,338.0,207.446503,11964
2002-03-05,341.0,341.0,320.0,330.0,202.536499,22324
2002-03-06,330.0,332.5,329.0,330.0,202.536499,18088
2002-03-07,334.0,343.5,333.5,343.5,210.822037,21576
2002-03-08,345.0,370.0,341.0,366.5,224.938232,58382
2002-03-11,362.0,375.0,359.5,372.5,228.620728,18074
2002-03-12,370.5,376.5,362.0,369.0,226.472641,21006
2002-03-13,362.0,371.5,362.0,370.0,227.086395,12353
2002-03-14,371.5,371.5,367.0,369.0,226.472641,6169
2002-03-15,372.0,372.0,367.0,368.0,225.858871,23487
2002-03-18,365.0,369.0,365.0,366.0,224.631378,12859
2002-03-19,364.5,371.0,364.5,369.5,226.779495,14000
2002-03-20,372.0,372.0,366.5,370.0,227.086395,9880
2002-03-21,371.5,375.0,368.5,370.0,227.086395,14121
2002-03-22,377.0,398.5,376.0,398.0,244.271332,63277
2002-03-25,399.5,399.5,388.0,390.0,239.361313,33865
2002-03-26,395.0,399.0,385.0,393.5,241.50943,22405
2002-03-27,394.5,410.0,394.0,410.0,251.636246,48178
2002-03-28,410.0,429.0,410.0,421.0,258.387512,90390
2002-03-29,421.0,421.0,421.0,421.0,258.387512,0
2002-04-01,421.0,421.0,421.0,421.0,258.387512,0
2002-04-02,421.0,448.0,421.0,446.0,273.731171,69051
2002-04-03,444.0,451.0,433.5,433.5,266.059296,80514
2002-04-04,433.0,440.5,425.0,430.5,264.218048,17426
2002-04-05,435.0,441.5,426.0,441.5,270.96933,15437
2002-04-08,440.5,440.5,427.0,429.5,263.604309,17380
2002-04-09,434.0,435.5,430.0,435.5,267.286804,9237
2002-04-10,435.0,450.0,435.0,448.0,274.958618,18364
2002-04-11,447.5,450.0,439.0,440.0,270.048676,14881
2002-04-12,432.5,449.0,432.0,435.0,266.97995,15584
2002-04-15,438.0,439.0,432.5,438.0,268.821198,11188
2002-04-16,440.0,442.0,433.0,440.0,270.048676,14818
2002-04-17,440.0,442.0,433.0,436.0,267.593719,19370
2002-04-18,435.0,441.0,415.0,435.0,266.97995,6952
2002-04-19,434.5,434.5,425.0,430.0,263.911194,12735
2002-04-22,432.0,432.0,423.0,423.0,259.61499,8114
2002-04-23,420.0,427.5,419.0,424.5,260.535583,6356
2002-04-24,420.0,438.0,420.0,435.0,266.97995,20496
2002-04-25,432.5,434.0,425.0,433.5,266.059296,17700
2002-04-26,430.5,445.0,430.5,442.0,271.276123,22823
2002-04-29,435.0,450.5,432.5,450.0,276.186157,28658
2002-04-30,442.0,450.0,440.0,440.0,270.048676,23067
2002-05-01,440.0,440.0,440.0,440.0,270.048676,0
2002-05-02,445.0,448.5,425.0,448.0,274.958618,77362
2002-05-03,463.0,513.0,463.0,504.0,309.328491,159983
2002-05-06,503.0,506.0,483.0,483.0,296.439789,29183
2002-05-07,477.0,492.0,477.0,485.0,301.411499,29223
2002-05-08,485.0,509.0,485.0,505.0,313.840912,67460
2002-05-09,500.0,515.0,493.0,505.0,313.840912,15828
2002-05-10,505.0,509.0,499.0,500.0,310.733521,13471
2002-05-13,499.0,511.0,493.0,508.0,315.705292,27616
2002-05-14,505.0,511.0,500.0,509.0,316.326721,13337
2002-05-15,509.0,509.0,498.0,509.0,316.326721,31497
2002-05-16,511.0,530.0,508.0,520.0,323.162933,33175
2002-05-17,528.0,530.0,516.0,521.0,323.784393,17155
2002-05-20,521.0,521.0,511.0,520.0,323.162933,1534
2002-05-21,527.0,527.0,513.0,514.0,319.434052,11974
2002-05-22,512.0,516.0,499.0,499.0,310.112061,14716
2002-05-23,500.0,512.0,499.0,507.0,315.083832,14952
2002-05-24,514.0,514.0,502.0,505.0,313.840912,6029
2002-05-27,512.0,512.0,496.0,500.0,310.733521,23083
2002-05-28,505.0,505.0,498.0,500.0,310.733521,18780
2002-05-29,500.0,501.0,496.0,500.0,310.733521,10247
2002-05-30,495.0,500.0,495.0,496.0,308.247681,9766
2002-05-31,496.0,500.0,496.0,499.0,310.112061,13612
2002-06-03,460.0,498.0,460.0,494.0,307.0047,9167
2002-06-04,491.5,493.0,478.0,480.0,298.30426,23654
2002-06-05,478.0,501.0,478.0,501.0,311.355042,32561
2002-06-06,500.0,503.0,495.0,497.5,309.179932,13780
2002-06-07,492.0,498.0,480.0,494.5,307.31546,33951
2002-06-10,491.5,503.0,491.5,495.0,307.626251,13709
2002-06-11,497.0,499.0,482.0,490.0,304.51886,16665
2002-06-12,490.0,490.0,478.0,480.0,298.30426,20556
2002-06-13,478.0,487.5,478.0,484.0,300.79007,15094
2002-06-14,489.5,489.5,476.5,482.0,299.547119,28328
2002-06-17,478.0,485.0,478.0,483.5,300.47937,10904
2002-06-18,477.0,483.0,477.0,480.0,298.30426,8947
2002-06-19,475.5,479.0,469.0,478.0,297.06131,13548
2002-06-20,474.0,475.5,448.0,448.0,278.417297,29344
2002-06-21,447.5,455.5,435.0,453.0,281.524628,32177
2002-06-24,446.0,462.0,446.0,451.0,280.281616,28408
2002-06-25,461.5,461.5,449.5,460.5,286.185577,22667
2002-06-26,444.5,462.0,444.5,462.0,287.117767,26895
2002-06-27,466.0,479.5,459.0,475.0,295.196869,23598
2002-06-28,478.0,478.0,463.0,475.0,295.196869,14549
2002-07-01,468.0,488.0,465.0,480.0,298.30426,22584
2002-07-02,480.0,484.5,478.5,484.0,300.79007,18744
2002-07-03,483.5,484.5,465.0,465.0,288.982208,28411
2002-07-04,475.0,475.0,468.5,470.0,292.089569,12275
2002-07-05,474.5,475.5,472.5,474.0,294.575409,14744
2002-07-08,468.0,475.0,468.0,475.0,295.196869,12533
2002-07-09,474.0,475.0,470.5,471.0,292.711029,15813
2002-07-10,463.0,468.5,454.5,455.0,282.767548,35364
2002-07-11,454.0,466.0,425.0,431.0,267.852295,29871
2002-07-12,426.0,442.5,426.0,440.0,273.445526,30133
2002-07-15,440.0,445.0,432.0,440.0,273.445526,27950
2002-07-16,439.5,442.0,398.0,407.0,252.937119,52213
2002-07-17,404.5,418.0,404.5,410.0,254.801529,24971
2002-07-18,402.5,422.5,402.5,418.0,259.773254,24154
2002-07-19,410.0,410.0,395.0,395.0,245.479492,25953
2002-07-22,407.0,407.0,335.0,338.0,210.055878,53725
2002-07-23,345.0,362.0,345.0,362.0,224.971115,63089
2002-07-24,357.5,382.0,352.0,360.0,223.72818,65350
2002-07-25,380.0,381.5,365.0,381.5,237.089645,50459
2002-07-26,385.0,405.0,381.0,405.0,251.694168,42460
2002-07-29,411.0,434.0,409.5,428.0,265.987946,28383
2002-07-30,431.0,434.0,426.0,432.5,268.784546,22517
2002-07-31,434.5,435.0,415.0,418.0,259.773254,21365
2002-08-01,419.0,425.0,419.0,423.0,262.880585,9358
2002-08-02,421.5,422.5,412.0,413.5,256.976654,28267
2002-08-05,403.0,403.0,382.0,383.0,238.021896,39190
2002-08-06,370.0,404.0,357.5,402.0,249.829773,37877
2002-08-07,411.0,418.0,392.5,392.5,243.925797,13886
2002-08-08,397.0,418.5,397.0,412.0,256.044434,18185
2002-08-09,417.0,420.0,398.0,406.0,252.315628,14714
2002-08-12,410.0,410.5,392.5,401.5,249.519028,11522
2002-08-13,404.0,414.0,390.0,414.0,257.287415,13869
2002-08-14,414.0,414.0,400.0,402.0,249.829773,12934
2002-08-15,412.0,440.0,411.0,430.0,267.230865,12574
2002-08-16,430.0,434.5,425.0,433.5,269.405945,16931
2002-08-19,430.0,437.0,422.5,425.0,264.123596,17070
2002-08-20,421.0,431.0,421.0,421.0,261.637665,13379
2002-08-21,427.5,438.0,421.0,432.5,268.784546,16430
2002-08-22,438.0,438.0,427.0,433.0,269.095215,17367
2002-08-23,434.5,438.0,425.0,428.0,265.987946,12773
2002-08-26,425.5,438.0,425.0,433.5,269.405945,6912
2002-08-27,432.5,435.0,422.5,426.0,264.745026,10963
2002-08-28,425.0,425.0,404.0,407.0,252.937119,27200
2002-08-29,405.0,409.5,395.5,399.0,247.965393,14699
2002-08-30,396.0,410.0,396.0,397.0,246.722412,28746
2002-09-02,396.0,404.0,396.0,398.0,247.343964,14871
2002-09-03,395.5,395.5,377.5,380.5,236.468246,23151
2002-09-04,386.0,400.0,372.0,397.0,246.722412,22630
2002-09-05,403.0,403.0,378.0,386.0,239.886353,24326
2002-09-06,398.0,408.0,386.0,397.5,247.033188,10564
2002-09-09,395.0,397.0,388.0,394.0,244.858017,8246
2002-09-10,395.0,400.0,382.5,390.0,242.372101,10874
2002-09-11,393.0,401.0,379.5,401.0,249.208282,20648
2002-09-12,402.5,404.0,393.0,396.0,246.100983,12266
2002-09-13,387.0,396.5,370.0,380.0,236.157471,27000
2002-09-16,390.0,390.0,372.5,380.0,236.157471,7328
2002-09-17,382.5,384.5,356.0,362.5,225.281799,18936
2002-09-18,353.5,377.0,334.0,358.0,222.48526,26865
2002-09-19,353.0,366.0,340.0,345.0,214.406219,21751
2002-09-20,335.0,360.0,333.0,346.5,215.338348,50231
2002-09-23,360.0,360.0,339.0,340.0,211.298782,16444
2002-09-24,341.0,346.5,335.0,340.0,211.298782,15814
2002-09-25,331.0,377.5,331.0,361.0,224.349625,16985
2002-09-26,364.0,388.5,356.0,379.0,235.536057,22692
2002-09-27,379.5,380.0,368.0,380.0,236.157471,4894
2002-09-30,370.0,374.5,351.0,360.0,223.72818,15036
2002-10-01,353.0,367.5,352.0,363.5,225.903275,15282
2002-10-02,370.0,373.0,340.0,340.0,211.298782,22759
2002-10-03,340.0,366.0,340.0,348.5,216.581329,14546
2002-10-04,347.5,364.0,347.5,355.0,220.620789,20353
2002-10-07,347.5,385.0,347.5,360.0,223.72818,30277
2002-10-08,360.0,375.0,360.0,365.0,226.835434,21981
2002-10-09,365.0,375.0,355.5,358.0,222.48526,49407
2002-10-10,359.0,365.0,354.0,360.5,224.038895,12829
2002-10-11,352.5,388.0,352.5,380.0,236.157471,35786
2002-10-14,371.0,388.0,363.0,365.5,227.146225,9021
2002-10-15,375.0,394.5,368.0,391.5,243.304352,59067
2002-10-16,386.5,405.0,386.5,390.0,242.372101,14547
2002-10-17,399.0,401.5,392.0,401.0,249.208282,25264
2002-10-18,402.0,412.0,396.0,410.0,254.801529,19686
2002-10-21,393.5,410.0,393.5,409.5,254.490753,13644
2002-10-22,396.5,408.0,396.5,403.0,250.451263,7648
2002-10-23,405.0,405.0,398.0,402.0,249.829773,13103
2002-10-24,404.0,419.0,403.0,415.0,257.908813,35045
2002-10-25,414.0,414.0,407.0,414.0,257.287415,10600
2002-10-28,416.0,437.5,415.0,432.5,268.784546,34579
2002-10-29,432.5,432.5,424.5,424.5,263.812775,11114
2002-10-30,425.5,432.0,419.5,427.0,265.366486,13917
2002-10-31,427.0,433.0,419.5,433.0,269.095215,22762
2002-11-01,428.0,428.0,416.0,426.5,265.055725,7056
2002-11-04,434.0,460.0,420.0,452.0,280.903168,24068
2002-11-05,455.0,460.0,441.5,456.0,283.388977,15620
2002-11-06,460.0,460.0,447.5,447.5,278.106567,15005
2002-11-07,449.5,454.0,420.0,431.0,267.852295,12802
2002-11-08,428.0,434.0,421.5,421.5,261.948395,18051
2002-11-11,420.0,423.5,410.5,415.5,258.219574,7338
2002-11-12,412.0,427.0,412.0,422.5,262.569885,16302
2002-11-13,415.0,437.0,415.0,429.0,266.609344,17796
2002-11-14,429.0,446.5,425.5,436.0,270.959686,13348
2002-11-15,441.0,451.5,437.5,451.5,280.592377,20547
2002-11-18,447.5,456.0,443.5,454.0,282.146027,5058
2002-11-19,447.0,465.0,447.0,455.5,283.078247,15786
2002-11-20,465.0,466.5,442.0,450.0,279.660156,10135
2002-11-21,455.0,464.0,448.0,459.0,285.253479,13891
2002-11-22,462.0,462.0,450.5,453.0,281.524628,25834
2002-11-25,455.0,468.5,455.0,463.0,287.739258,9435
2002-11-26,460.0,467.5,455.0,460.0,285.874878,9684
2002-11-27,455.5,461.0,454.0,456.0,283.388977,10640
2002-11-28,457.0,470.0,453.5,460.5,286.185577,11692
2002-11-29,460.0,468.0,447.5,447.5,278.106567,14835
