Date,Open,High,Low,Close,Adj Close,Volume
2001-10-01,117.5,120.75,115.25,117.75,86.021927,265818
2001-10-02,118.75,119.0,115.0,118.5,86.569839,137971
2001-10-03,118.5,118.5,115.25,117.0,85.47403,83267
2001-10-04,119.0,125.5,119.0,124.0,90.58786,163094
2001-10-05,122.75,127.75,122.25,125.0,91.318398,135760
2001-10-08,123.25,125.0,121.25,122.0,89.126762,66737
2001-10-09,124.0,125.75,122.0,124.5,90.953125,82667
2001-10-10,123.0,127.75,122.5,127.0,92.779503,107186
2001-10-11,131.0,133.5,129.25,133.5,97.528046,179987
2001-10-12,131.75,133.5,129.25,131.0,95.701683,146811
2001-10-15,132.0,132.0,125.0,125.0,91.318398,143515
2001-10-16,125.0,128.0,123.5,125.0,91.318398,177622
2001-10-17,128.0,133.5,126.0,132.0,96.432236,169531
2001-10-18,129.0,133.0,129.0,133.0,97.162788,50819
2001-10-19,133.5,135.0,130.0,130.75,95.519058,68400
2001-10-22,131.0,133.5,130.25,130.75,95.519058,69308
2001-10-23,131.5,137.0,131.5,137.0,100.084976,94752
2001-10-24,137.5,140.0,136.0,138.5,101.180786,98467
2001-10-25,138.75,140.5,137.75,138.25,100.998161,75183
2001-10-26,137.0,139.0,134.5,136.5,99.719711,251933
2001-10-29,136.5,137.75,131.5,131.5,96.066956,231845
2001-10-30,130.5,130.5,124.75,124.75,91.13575,302123
2001-10-31,125.5,128.25,125.0,126.5,92.414238,138601
2001-11-01,125.75,127.5,125.0,125.5,91.68367,100850
2001-11-02,129.0,129.0,126.0,128.75,94.057945,94009
2001-11-05,128.5,131.0,128.0,130.5,95.336395,78694
2001-11-06,131.0,133.5,128.5,130.0,94.971123,164337
2001-11-07,131.25,133.0,129.5,130.25,95.15377,77275
2001-11-08,131.75,132.75,129.25,131.0,95.701683,294329
2001-11-09,130.25,136.0,130.25,133.0,97.162788,241445
2001-11-12,133.75,135.25,131.25,131.25,95.884315,184534
2001-11-13,134.0,136.0,130.75,134.25,98.075958,97497
2001-11-14,137.5,141.25,135.0,139.0,101.546066,155442
