filter,config_id,config,rmse,mape,pearson_r2,directional_accuracy
Butterworth,1,"{'cutoff': 0.05, 'order': 2}",189.75562342076657,2.4813737500545305,0.16076112259050113,50.54886211512718
Butterworth,2,"{'cutoff': 0.1, 'order': 2}",205.66112712936769,2.778745116927266,0.21778415854442126,47.603748326639895
Butterworth,3,"{'cutoff': 0.2, 'order': 2}",183.6707451164076,2.5234877177639192,0.2412585193094412,49.04953145917001
HP Filter,1,{'lambda': 100},146.31316318138886,2.128254711283624,0.34529426540034824,48.728246318607766
HP Filter,2,{'lambda': 1600},140.79969930934075,1.998654205662831,0.32160911483447363,50.09370816599732
HP Filter,3,{'lambda': 10000},138.8753992107115,1.93245955144173,0.3714050701119451,51.37884872824632
Kalman Filter,1,{'process_noise': 0.001},130.68747424208388,1.801149238052471,0.4089884203876601,51.37884872824632
Kalman Filter,2,{'process_noise': 0.01},134.4116542023708,1.7052815513612165,0.3208621601438057,50.30789825970549
Kalman Filter,3,{'process_noise': 0.1},125.98855007738045,1.6709657951788395,0.2382144607934366,49.63855421686747
Moving Average,1,{'window': 10},129.7674545872385,1.761957507702052,0.31096113558056676,50.040160642570285
Moving Average,2,{'window': 30},124.44592181840713,1.759697886920765,0.3913962410345026,51.00401606425703
Moving Average,3,{'window': 60},133.5067765338842,1.71986192786373,0.39288292126667607,51.80722891566265
